t;chord
0.0;N
2.74;F:min
17.063;F:min7
17.959;Eb:sus4
18.596;Db:9
19.679;Eb:sus2
20.663;F:min7
21.479;Ab:sus2
22.199;Db:maj6
23.272;Eb:maj6
24.206;F:min7
25.039;Eb:sus4
25.771;Db:9
26.83;Eb:sus2
27.799;F:min7
28.663;Ab:sus2
29.343;Db:maj6
30.423;Eb:maj6
31.367;F:min7
32.191;Eb:sus4
33.003;Db:9
34.087;Eb:sus2
34.951;F:min7
35.843;Ab:sus2
36.535;Db:maj6
37.607;Eb:maj6
38.559;F:min7
39.375;Eb:sus4
40.063;Db:9
41.151;Eb:sus2
42.111;F:min7
43.004;Ab:sus2
43.727;Db:maj6
44.775;Eb:maj6
45.711;F:min7
46.569;Eb:sus4
47.288;Db:9
48.351;Eb:sus2
49.231;F:min7
50.151;Ab:sus2
50.897;Db:maj6
51.96;Eb:maj6
52.905;F:min7
53.719;Eb:sus4
54.462;Db:9
55.519;Eb:sus2
56.455;F:min7
57.335;Ab:sus2
58.047;Db:maj6
59.111;Eb:maj6
60.041;Eb:maj
61.823;Db:maj
63.584;Eb:maj
65.439;Db:maj
67.215;Eb:maj
69.004;Db:maj
70.744;D:sus4
72.551;D:maj
74.327;Db:9
76.134;Eb:maj
77.943;C:min7
79.735;F:maj
81.478;Bb:min9
83.266;C:7
85.043;Db:maj
86.903;Eb:maj
88.715;Db:9
90.455;Eb:maj
92.214;C:min7
93.999;F:min
95.927;Bb:min9
97.703;C:7
99.439;Db:maj
101.158;Eb:maj
102.993;F:min7
103.89;Eb:sus4
104.679;Db:9
105.663;Eb:sus2
106.583;F:min7
107.501;Ab:sus2
108.167;Db:maj6
109.231;Eb:maj6
110.216;F:min7
110.995;Eb:sus4
111.727;Db:9
112.847;Eb:sus2
113.76;F:min7
114.583;Ab:sus2
115.327;Db:maj6
116.394;Eb:maj6
117.319;F:min7
118.167;Eb:sus4
118.887;Db:9
119.943;Eb:sus2
120.91;F:min7
121.75;Ab:sus2
122.431;Db:maj6
123.529;Eb:maj6
124.495;F:min7
125.343;Eb:sus4
126.047;Db:9
127.187;Eb:sus2
128.079;F:min7
128.865;Ab:sus2
129.761;Db:maj6
130.775;Eb:maj6
131.655;F:min7
132.567;Eb:sus4
133.458;Db:9
134.375;Eb:sus2
135.274;F:min7
136.121;Ab:sus2
136.791;Db:maj6
137.98;Eb:maj6
138.878;F:min7
139.726;Eb:sus4
140.387;Db:9
141.496;Eb:sus2
142.431;F:min7
143.303;Ab:sus2
144.009;Db:maj6
145.103;Eb:maj6
145.999;Eb:maj
147.847;Db:maj
149.616;Eb:maj
151.367;Db:maj
153.23;Eb:maj
154.927;Db:maj
156.754;D:sus4
158.487;D:maj
160.311;Db:9
161.975;Eb:maj
163.863;C:min7
165.59;F:min
167.479;Bb:min9
169.319;C:min7
171.022;Db:maj
172.875;Eb:maj
174.719;Db:9
176.39;Eb:maj
178.206;C:min7
179.959;F:min
181.742;Bb:min9
183.593;C:min7
185.368;Db:maj
187.15;Eb:maj
188.951;F:min7
189.907;Eb:sus4
190.611;Db:9
191.714;Eb:sus2
192.627;F:min7
193.476;Ab:sus2
194.259;Db:maj6
195.282;Eb:maj6
196.171;F:min7
197.003;Eb:sus4
197.723;Db:9
198.803;Eb:sus2
199.763;F:min7
200.635;Ab:sus2
201.467;Db:maj6
202.426;Eb:maj6
203.307;F:min7
204.173;Eb:sus4
204.907;Db:9
206.003;Eb:sus2
206.858;F:min7
207.722;Ab:sus2
208.475;Db:maj6
209.539;Eb:maj6
210.444;F:min7
211.331;Eb:sus4
212.059;Db:9
213.115;Eb:sus2
214.051;F:min7
214.915;Ab:sus2
215.562;Db:maj6
216.762;N
