t;chord
0.0;N
0.07;C:maj
0.871;F:maj/5
3.053;C:maj
3.82;G:sus4/4
4.876;G:maj
6.057;F:maj
6.838;C:maj
7.837;D:min7
8.571;G:sus4/4
10.09;C:maj
10.808;F:maj/5
12.098;C:maj
16.091;F:maj/5
18.1;G:sus4
20.049;C:maj
22.094;G:sus4
24.102;A:min7
26.111;D:min7
27.086;C:maj/3
28.108;F:maj
29.141;G:sus4(b7)
30.105;C:maj
34.11;E:min7
36.119;A:min7
38.104;G:min7
40.033;C:sus2(b7)
41.111;C:maj
42.098;F:maj
43.073;C:maj/3
44.071;D:min7
45.07;G:sus4
47.076;G:maj
48.245;C:maj
50.109;A:min7
51.084;E:7/3
52.094;A:min7
54.149;G:min7
55.113;C:maj
56.123;F:maj
58.108;C:maj/3
60.105;F:maj/3
62.16;G:sus4(b7)
63.123;G:7
64.11;A:min
66.119;C:maj/5
68.093;F:maj7
70.106;F:maj9
72.065;A:min7
72.849;A:7
73.845;D:min7
75.105;G:sus4
76.394;D:min
78.112;C:maj
80.049;F:maj/5
80.8;C:maj/3
81.812;D:min7
82.547;G:sus4
84.082;C:maj
84.849;F:maj/5
86.09;C:maj
90.117;F:maj/5
92.114;G:sus4
94.106;C:maj
96.096;E:min7
98.128;A:min7
100.09;D:min7
101.076;C:maj/3
102.063;F:maj
103.053;G:sus4
104.107;C:maj
106.057;F:maj/5
108.147;E:min7
110.132;A:min7
112.129;G:min7
114.091;C:7
116.088;F:maj
117.075;C:maj/3
118.073;D:min7
119.095;G:sus4
121.139;G:7
122.125;C:maj
124.111;B:min7
125.109;E:7
126.084;A:min
128.093;G:min7
129.103;C:7
130.101;F:maj
132.11;C:maj/3
134.107;D:min7
136.176;G:sus4
137.102;G:7
138.112;A:min7
140.098;G:min7
142.083;C:maj
143.837;B:maj6
144.126;Bb:maj6
146.158;E:min7
146.824;A:7
147.853;D:min7
149.11;G:sus4(b7)
150.314;C:sus4
152.067;C:maj
154.122;C:maj7/7
156.096;F:maj/3
158.105;F:min/b3
160.078;C:maj/5
162.11;D:maj/3
164.095;F:maj
165.105;E:7/3
168.112;A:min
170.121;E:maj/3
172.106;C:maj/5
173.078;C:maj/5
174.092;D:maj/5
176.1;D:min7
178.062;G:sus4
181.104;G:7
182.277;C:maj
184.134;B:dim
185.086;E:7
186.073;A:min7
188.116;Bb:maj/5
189.092;C:7
190.113;F:maj
192.11;C:maj/3
194.107;D:min7
196.127;G:sus4
197.103;G:7
198.106;A:min7
199.901;G:min
201.143;C:7
202.165;F:maj7
204.098;F:min6
206.122;E:min7
206.913;A:7
207.865;D:min7
209.127;G:7
210.841;A:7
211.82;D:min7
213.078;G:sus4
214.024;E:min7
214.901;A:7
215.911;D:min7
217.094;G:sus4
218.073;D:min7
223.086;C:maj
232.176;N
