t;chord
0.0;N
0.848;A:min
1.625;G:maj
3.017;F:maj
3.895;C:maj7
5.259;D:min
6.084;C:maj
7.396;B:maj7
8.327;E:maj
9.706;A:min
10.542;E:min
11.935;F:maj
12.771;C:maj7
14.153;D:min
14.965;E:maj/5
16.364;A:min
19.818;E:min7
20.232;G:maj
20.793;F:maj
22.044;E:min
22.723;C:maj7
23.023;D:min
24.265;C:maj
25.249;B:7
26.482;E:maj
27.469;A:min
28.711;E:min7
29.117;G:maj
29.678;F:maj
30.922;E:min
31.34;C:maj7
31.905;D:min
33.149;E:maj
34.133;A:min
36.362;B:min
54.126;D:maj
55.275;A:maj/3
56.413;B:min
57.504;G:maj
58.05;A:7
58.619;D:maj
59.722;A:maj/3
60.825;B:min
61.939;G:maj
62.497;A:maj
63.054;D:maj
64.18;A:maj/3
65.283;B:min
66.397;G:maj7
66.943;A:maj
67.5;G:maj
68.615;A:maj
69.709;D:maj
73.027;A:maj/3
74.141;B:min
75.244;G:maj6
75.79;A:7
76.359;D:maj
77.462;A:maj/3
78.576;B:min
79.679;G:maj
80.237;A:maj
80.794;D:maj
81.908;A:maj/3
83.023;B:min
84.126;G:maj7
84.672;A:maj6
85.24;G:maj7
86.233;A:maj
86.904;F#:7
87.461;B:min
88.7;F#:min7
89.687;G:maj
90.941;F#:min
91.896;E:min
93.143;D:maj
94.131;C#:7
95.379;F#:maj/5
96.351;B:min
97.591;F#:min7
98.557;G:maj
99.834;F#:min
100.786;E:min
102.04;F#:maj
103.007;B:min
105.268;C#:min
106.475;G#:min
107.468;A:maj
108.709;G#:min
109.691;F#:min
110.933;E:maj
111.86;D#:7
113.023;G#:maj
113.847;C#:min
115.37;G#:min
116.367;A:maj
117.609;G#:min
118.564;F#:min
119.812;G#:maj
120.523;C#:sus4
123.037;C#:maj
125.248;B:min
134.13;D:maj
135.245;A:maj/3
136.348;B:min
137.6;G:maj7
138.057;A:maj
138.545;D:maj
139.691;A:maj/3
140.794;B:min
141.909;G:maj
142.466;A:maj
143.023;D:maj
144.115;A:maj/3
145.229;B:min
146.344;G:maj7
146.901;A:maj
147.458;G:maj7
148.573;A:maj
149.13;F#:aug
149.687;Eb:maj
150.79;Bb:maj/3
151.905;C:min
153.02;Ab:maj6
153.565;Bb:maj
154.149;Eb:maj
155.237;Bb:maj/3
156.352;C:min
157.455;Ab:maj
158.012;Bb:maj
158.569;Eb:maj
159.684;Bb:maj/3
160.798;C:min
161.913;Ab:maj
162.451;Bb:maj
163.017;Ab:maj7
164.13;Bb:maj
165.233;Eb:maj
167.445;Eb:maj
168.577;Bb:maj/3
169.68;C:min
170.783;Ab:maj7
171.34;Bb:maj
171.908;Eb:maj
173.012;Bb:maj/3
174.126;C:min
175.229;Ab:maj
175.787;Bb:maj
176.344;Eb:maj
177.459;Bb:maj/3
178.573;C:min
179.688;Ab:maj7
180.233;Bb:7
180.791;Ab:maj
181.905;Eb:maj/5
182.451;Bb:maj
183.008;Eb:maj
185.264;Ab:maj9
186.491;Bb:maj
187.82;N
191.205;N
