t;chord
0.0;N
0.058;C:maj
2.645;C:maj/3
5.271;F:maj
7.853;G:sus4
9.509;G:maj
10.484;C:maj
13.094;C:maj/3
15.708;F:maj
18.321;G:sus4
19.621;G:maj
20.933;C:maj
23.533;E:min
26.146;D:min7
28.758;F:min
31.359;E:min
33.971;A:min7
36.583;D:min
39.184;G:sus4
40.496;G:maj
41.796;C:maj
44.408;E:min
47.02;D:min7
49.621;F:min7
52.233;E:min
54.846;A:min7
57.458;D:min7
60.033;G:sus4
61.343;G:maj
62.659;E:min
65.283;A:maj
67.884;F:maj7
69.195;E:min
70.496;D:min7
71.788;G:maj9
73.096;E:min7
75.69;A:sus4(b7)
77.009;A:maj
78.321;D:min7
80.933;E:min7
83.534;F:maj
86.146;G:sus4
88.725;G:maj
91.371;Ab:maj7
96.595;G:min7
98.859;Gb:aug
101.796;F:min7
104.409;Bb:sus4(b7)
107.009;G:sus4
109.257;G:maj
112.234;C:maj
114.824;C:maj/3
117.447;F:maj
120.065;G:sus4
121.339;G:maj
122.671;C:maj
125.283;E:min7
127.884;D:min7
130.496;F:min7
133.108;E:min
135.709;A:min7
138.318;D:min
140.898;G:maj
143.527;A:min
144.49;Ab:aug
145.183;D:7
146.146;G:min
147.102;C:maj
148.747;F:maj7
151.359;F:min
153.983;E:min
156.584;A:min7
159.184;D:min7
161.785;G:sus4
163.097;G:maj
164.397;E:min
167.01;A:min
168.31;A:maj
169.622;F:maj7
170.934;E:min
172.234;D:min
173.518;G:maj
174.846;E:min7
177.42;A:sus4
178.759;A:maj
180.059;D:min7
182.671;E:min7
185.284;F:maj
187.884;G:sus4
190.482;G:maj
193.109;Ab:maj7
198.322;G:min7
200.597;Gb:aug
203.546;F:min7
205.812;Bb:sus4
208.109;Db:min
208.759;G:min
211.035;C:sus4(b7)/b7
212.66;C:7
213.983;Ab:maj7
219.196;G:min7
221.472;Gb:7
224.421;F:min7
226.36;Bb:sus4(b7)
229.611;G:sus4
231.902;G:maj
234.847;C:maj
237.437;E:min
240.048;F:maj
242.645;G:sus4
244.297;G:maj
245.272;C:maj
247.885;C:maj/3
250.485;F:maj
253.098;G:sus4
254.409;G:maj
256.383;A:maj
263.593;N
