t;chord
0.0;N
0.588;A:7
22.828;E:7
27.394;D:7
31.668;A:7
40.607;E:7
45.069;D:7
49.427;A:7
53.884;E:7
56.043;D:7
58.38;A:7
62.707;E:7
64.928;D:7
67.291;A:7
71.692;A:7
80.505;D:7
85.027;A:7
89.451;E:7
91.611;D:7
93.916;A:7
98.421;A:7
102.837;E:7
107.306;D:7
111.67;A:7
120.611;E:7
125.052;D:7
129.507;A:7
133.868;E:7
136.083;D:7
138.283;A:7
142.733;E:7
144.962;D:7
147.275;A:7
151.675;A:7
156.149;E:7
160.658;D:7
164.977;A:7
173.907;E:7
178.345;D:7
182.754;A:7
187.177;E:7
189.401;D:7
191.705;A:7
196.074;E:7
198.313;D:7
200.585;A:7
207.104;N
