t;chord
0.0;N
2.717;D:min(2)
5.387;G:maj6
8.046;Bb:maj
10.696;F:maj7
13.386;D:min(2)
16.045;G:maj6
18.715;Bb:maj/2
21.386;F:maj7
24.04;D:min9
26.715;G:7(13)
29.385;Bb:maj/2
32.044;F:maj7
34.714;D:min(2)
37.361;G:maj6
40.043;Bb:maj/2
42.72;F:maj7
45.383;D:min(2)
48.042;G:maj6
50.712;Bb:maj/2
53.393;F:maj7
55.361;F:7
56.041;Bb:maj7
58.712;Bb:min6
61.382;A:min
64.067;D:sus4
65.38;D:maj
66.711;G:min
69.381;A:min
72.04;Bb:min7
74.71;F:maj/3
77.38;D:min9
80.051;G:7(13)
82.714;Bb:maj/2
85.391;F:maj7
88.05;D:min9
90.72;G:7(13)
93.391;Bb:maj/2
96.038;F:maj7
98.718;D:min(2)
101.39;G:maj6
104.049;Bb:maj/2
106.696;F:maj7
109.367;D:min(2)
112.048;G:maj6
114.718;Bb:maj/2
117.413;F:maj7
119.374;F:7
120.047;Bb:maj7
122.741;Bb:min
125.376;A:min
128.048;D:sus4
129.382;D:7
130.717;G:min7
133.387;A:min
136.057;Bb:maj7
138.716;F:maj/3
141.386;D:min9
144.057;G:7(13)
146.759;Bb:maj/2
149.386;F:maj7
152.044;D:min9
154.726;G:9(13)
157.368;Bb:maj/2
160.03;F:maj7
162.727;D:min
165.373;G:sus4
166.675;G:maj6
168.054;Bb:maj/2
170.713;F:maj7
173.383;D:min9
176.054;G:7(13)
178.712;Bb:maj/2
181.383;F:maj7
184.053;D:min9
186.712;G:7(13)
189.382;Bb:maj/2
192.052;A:7(11)
194.723;D:min9
197.381;G:7(13)
199.993;Bb:maj/2
202.722;F:maj7
205.38;D:min9
208.051;G:7(13)
210.721;Bb:maj/2
213.379;F:maj7
216.05;D:min9
218.72;G:7(13)
221.397;Bb:maj/2
224.049;F:maj7
226.72;D:min9
229.39;G:7(13)
231.712;Bb:maj/2
234.719;F:maj7
237.378;D:min9
240.048;G:7(13)
242.718;Bb:maj/2
245.377;F:maj7
248.032;D:min9
250.717;G:7(13)
253.358;Bb:maj/2
256.039;F:maj7
258.684;D:min7
261.387;A:min7
264.022;N
