t;chord
0.0;N
0.121;F:maj
0.465;D:maj
0.624;F:maj
1.042;D:maj
1.272;F:maj
1.566;D:maj
1.906;F:maj
2.125;D:maj
2.34;G:maj
3.011;F:maj
3.384;D:maj
3.596;F:maj
3.983;D:maj
4.158;F:maj
4.541;D:maj
4.876;F:maj
5.24;D:maj
5.964;F:maj
6.416;D:maj
6.612;F:maj
6.963;D:maj
7.135;F:maj
7.477;D:maj
7.89;F:maj
8.067;D:maj
8.26;G:maj
8.942;F:maj
9.359;D:maj
9.555;F:maj
9.906;D:maj
10.065;F:maj
10.366;D:maj
10.788;F:maj
11.171;D:maj
11.786;F:maj
12.175;D:maj
12.372;F:maj
12.757;D:maj
13.02;F:maj
13.342;D:maj
13.84;F:maj
14.131;G:maj
14.74;F:maj
15.143;D:maj
15.381;F:maj
15.737;D:maj
15.974;F:maj
16.28;D:maj
16.767;F:maj
17.054;D:maj
17.696;F:maj
18.088;D:maj
18.319;F:maj
18.697;D:maj
18.904;F:maj
19.232;D:maj
19.559;F:maj
19.916;G:maj
20.611;F:maj
20.969;D:maj
21.179;F:maj
21.521;D:maj
21.714;F:maj
22.117;D:maj
22.677;F:maj
23.016;D:maj
23.669;G:maj
25.013;A:maj
26.488;F:maj
26.94;D:maj
27.083;F:maj
27.374;D:maj
27.539;F:maj
28.037;D:maj
28.265;F:maj
28.643;D:maj
29.369;F:maj
29.681;D:maj
29.874;F:maj
30.202;D:maj
30.407;F:maj
30.904;D:maj
31.204;F:maj
31.59;D:maj
32.268;G:maj
33.819;A:maj
35.24;F:maj
35.613;D:maj
35.842;F:maj
36.124;D:maj
36.301;F:maj
36.682;D:maj
37.127;F:maj
37.463;D:maj
38.095;F:maj
38.466;D:maj
38.711;F:maj
39.088;D:maj
39.305;F:maj
39.632;D:maj
40.095;F:maj
40.443;D:maj
44.082;D:maj
67.445;G:maj
68.989;A:maj
70.442;D:maj
76.258;G:maj
77.714;A:maj
79.124;D:maj
84.991;F:maj
85.374;D:maj
85.571;F:maj
85.9;D:maj
86.087;F:maj
86.432;D:maj
87.231;G:maj
87.998;F:maj
88.31;D:maj
88.512;F:maj
88.807;D:maj
89.008;F:maj
89.326;D:maj
90.959;F:maj
91.332;D:maj
91.532;F:maj
91.79;D:maj
91.952;F:maj
92.315;D:maj
92.684;F:maj
93.05;G:maj
93.785;F:maj
94.157;D:maj
94.387;F:maj
94.676;D:maj
94.882;F:maj
95.209;D:maj
96.666;D:maj
120.127;G:maj
121.519;A:maj
123.111;D:maj
128.879;G:maj
130.327;A:maj
131.815;D:maj
137.752;E:min
161.197;D:maj
184.518;G:maj
185.949;A:maj
187.421;D:maj
193.205;G:maj
194.725;A:maj
196.205;D:maj
202.345;F:maj
202.527;D:maj
202.686;F:maj
202.99;D:maj
203.158;F:maj
203.478;D:maj
204.022;F:maj
204.272;G:maj
205.002;F:maj
205.335;D:maj
205.551;F:maj
205.862;D:maj
206.083;F:maj
206.393;D:maj
206.846;F:maj
207.175;D:maj
207.99;F:maj
208.326;D:maj
208.518;F:maj
208.831;D:maj
209.006;F:maj
209.31;D:maj
209.806;F:maj
210.086;G:maj
210.806;F:maj
211.191;D:maj
211.348;F:maj
211.695;D:maj
211.902;F:maj
212.259;D:maj
212.824;F:maj
213.094;D:maj
213.814;F:maj
214.126;D:maj
214.31;F:maj
214.666;D:maj
214.854;F:maj
215.191;D:maj
215.597;F:maj
215.904;G:maj
216.642;F:maj
216.998;D:maj
217.184;F:maj
217.558;D:maj
217.75;F:maj
218.112;D:maj
218.59;F:maj
218.902;D:maj
219.599;F:maj
219.982;D:maj
220.166;F:maj
220.544;D:maj
220.727;F:maj
221.062;D:maj
221.424;F:maj
221.758;G:maj
222.472;F:maj
222.822;D:maj
222.99;F:maj
223.366;F:maj
223.55;D:maj
223.918;D:maj
224.35;F:maj
224.702;D:maj
