t;chord
0.0;N
0.023;N
1.091;Bb:min7
3.476;Eb:sus4(b7)
5.886;Bb:min7
8.29;Eb:sus4(b7)
10.681;Ab:maj6
11.877;Eb:maj/3
13.073;F:min7
14.108;Eb:maj
15.476;Db:maj
16.505;Ab:maj6
17.567;Bb:min7
18.762;Eb:maj
20.259;Ab:maj6
21.467;Eb:maj/3
22.663;F:min
23.859;Ab:maj/5
25.066;Db:maj6
26.239;Ab:maj/3
27.156;Bb:min7
28.352;Eb:maj
29.861;Ab:maj
32.253;Db:maj/2
34.644;G:min7
37.047;C:maj
38.236;D:7
39.445;Ab:maj
41.831;Ab:maj/5
44.234;C:min
45.43;F:min7
46.629;Bb:min
47.833;Eb:maj
49.022;Ab:maj
51.421;Ab:maj/5
53.824;C:min
55.02;F:min7
56.216;Bb:min
57.411;Eb:maj
58.015;Ab:maj/5
58.619;Bb:min7
61.003;Eb:sus4(b7)
63.412;Bb:min7
65.796;Eb:sus4(b7)
68.197;C:min7
70.6;F:min
71.808;Eb:maj6
72.4;Ab:maj/3
73.004;Db:maj7
74.188;Ab:maj/3
75.043;Bb:min7
76.301;Eb:maj
77.798;Ab:maj
80.19;Ab:maj/5
82.582;C:min
83.789;F:min7
84.973;Bb:min
86.181;Eb:maj
87.38;Ab:maj
89.764;Ab:maj/5
92.183;C:min
93.379;F:7
94.562;Bb:min
95.771;Eb:maj
96.967;Bb:min7
99.358;Eb:sus4(b7)
101.761;Bb:min7
104.165;Eb:sus4(b7)
105.361;Eb:maj
105.953;Db:maj
106.556;C:min7
108.948;F:min
110.155;Eb:maj6
111.338;Db:maj
112.472;Ab:maj/3
113.441;Bb:min7
114.649;Eb:maj
116.18;Ab:maj6
117.224;Eb:maj/3
118.538;F:min7
119.543;Eb:maj
120.914;Db:maj
121.992;Ab:maj/3
123.031;Bb:min7
123.635;Ab:maj/3
124.238;Eb:maj
125.747;Ab:maj
126.792;Eb:maj/3
128.098;F:min
129.162;Ab:maj/5
130.531;Db:maj
131.592;Ab:maj/3
132.632;Bb:min7
133.817;Eb:maj
135.326;A:min
136.22;D:maj
137.718;Ab:maj
138.612;Db:maj
140.121;G:min
144.261;C:maj
144.916;F:maj6
147.307;C:sus4(b7)
149.711;A:min
150.906;D:7
152.102;G:min
153.298;C:maj
154.506;F:maj
156.886;C:sus4(b7)
159.289;A:min
160.496;D:min
161.692;Eb:maj
164.084;Ab:maj6
166.487;Db:maj6
168.879;C:min7
170.086;F:min
171.282;Bb:min
172.478;Eb:maj
173.682;Ab:maj6
176.057;Bb:min7
178.469;C:min
179.676;F:min
180.86;Bb:min
182.068;Eb:maj
183.263;Bb:min7
185.655;Eb:7
188.058;Bb:min7
190.462;Eb:sus4(b7)
191.646;Eb:maj
192.853;C:min7
195.245;F:min
196.452;Eb:maj
197.648;Db:maj
198.824;Ab:maj/3
200.0;Bb:min7
202.411;Eb:sus4(b7)
204.835;Bb:min7
207.216;Eb:sus4(b7)
209.584;Ab:maj
210.826;Eb:maj/3
212.021;F:min7
213.076;Eb:maj
214.415;Db:maj
215.457;Ab:maj/3
216.507;Bb:min
217.71;Eb:maj
219.22;Ab:maj6
220.245;Eb:maj/3
221.584;F:min
222.661;Ab:maj/5
224.015;Db:maj
225.045;Ab:maj
226.099;Bb:min7
227.312;Eb:maj
228.795;Bb:maj
229.849;F:maj/3
231.201;G:min7
232.261;D:min
233.593;Eb:maj
234.627;Bb:maj/3
235.694;C:min7
236.89;F:maj
238.388;Bb:maj
239.422;F:maj/3
240.791;G:min7
241.831;D:min
243.183;Eb:maj
244.22;Bb:maj/3
245.284;C:min7
245.876;Eb:maj
246.48;F:maj
247.989;Bb:maj
250.366;Eb:maj/2
252.772;A:min
255.176;D:maj
257.56;Bb:maj
259.958;Eb:maj/2
262.362;A:min
264.766;D:maj
267.148;N
