t;chord
0.0;N
0.114;Ab:min6
1.933;Ab:min(*b3,*5)
2.353;Bb:min(*b3,*5)
2.794;Cb:min(*b3,*5)
3.245;C:min(*b3,*5)
3.448;Db:7
3.994;Eb:min7
4.431;Db:maj/3
5.159;Db:maj/3
5.731;Eb:min7/b3
6.155;Db:maj/5
6.89;Db:maj/5
7.445;Cb:maj
7.869;Db:maj
8.735;Db:maj
10.302;Db:7
10.882;Eb:min7
11.306;Db:maj/3
12.049;Db:maj/3
12.588;Eb:min7/b3
13.004;Db:maj/5
13.453;Ab:maj
14.718;Ab:sus4/2
15.624;Ab:min/b3
16.318;Ab:maj/3
17.167;Db:7
17.641;Eb:min7(4)
18.147;Db:maj/3
18.882;Gb:7
19.435;Ab:min7
19.853;Gb:maj/3
20.584;Cb:maj6
21.153;C:dim
21.56;Db:maj
23.162;Db:7
23.951;Ab:maj
24.985;Ab:sus4/2
25.449;Ab:dim/b3
25.89;Ab:maj/3
26.297;Db:min/5
26.726;D:dim
27.492;Eb:min7
29.582;Db:min/5
31.022;Db:maj
34.261;Db:7
34.865;Eb:min7/2
35.283;Db:maj/5
36.037;Db:maj/5
36.571;Eb:min7/2
37.024;Db:maj/5
37.86;Gb:7
39.578;Db:maj
41.123;Gb:7
43.305;Db:maj
44.652;Gb:7
46.512;Db:maj
48.208;Gb:maj
49.865;Db:min(*b3,*5)
50.318;Eb:min(*b3,*5)
50.747;Fb:min(*b3,*5)
51.154;Eb:min(*b3,*5)
51.595;Gb:7
53.29;Db:7
55.078;Gb:7
56.75;Db:min(*b3,*5)
57.179;Eb:min(*b3,*5)
57.574;Fb:min(*b3,*5)
58.061;Eb:min(*b3,*5)
58.41;Db:maj6
60.217;Bb:min
61.753;Eb:7
63.89;Ab:maj
65.283;Db:7
67.036;F:min
68.766;Ab:7
70.426;Db:maj
72.156;Ab:min6
73.758;Ab:min(*b3,*5)
74.302;Bb:min(*b3,*5)
74.792;Cb:min(*b3,*5)
75.2;Cb:min(*b3,*5)
75.608;Db:maj
78.857;Db:7
79.445;Eb:min7/2
79.886;Db:maj/5
80.588;Db:maj/5
81.176;Eb:min7/2
81.6;Db:maj/5
82.286;Gb:7
84.114;Db:maj
85.725;Gb:7
87.886;Db:maj
89.143;Gb:7
90.971;Db:maj
92.555;Gb:7
94.335;Db:min(*b3,*5)
94.906;Eb:min(*b3,*5)
95.314;Fb:min(*b3,*5)
95.747;Eb:min(*b3,*5)
96.147;Gb:7
97.845;Db:7
99.445;Gb:7
101.176;Db:min(*b3,*5)
101.763;Eb:min(*b3,*5)
102.204;Fb:min(*b3,*5)
102.612;Eb:min(*b3,*5)
103.347;Db:maj6
104.763;Bb:min
106.302;Eb:7
108.424;Ab:maj
109.747;Db:7
111.788;F:min
113.339;Ab:7
115.004;Db:maj
116.735;Ab:min6
118.335;Ab:min(*b3,*5)
118.824;Bb:min(*b3,*5)
119.298;Cb:min(*b3,*5)
119.673;C:min(*b3,*5)
120.049;Db:7
120.604;Eb:min7
121.029;Db:maj/3
121.714;Db:maj/3
122.286;Eb:min7/b3
122.678;Db:maj/5
124.016;Cb:maj
124.392;Db:maj
126.873;Db:7
127.461;Eb:min7
127.894;Db:maj/3
129.159;Eb:min7/b3
129.567;Db:maj/5
130.033;Ab:maj
131.298;Ab:sus4/2
132.18;Ab:min/b3
132.888;Ab:maj/3
133.735;Db:7
134.269;Eb:min7(4)
134.722;Db:maj/3
135.454;Gb:7
136.011;Ab:min7
136.417;Gb:maj/3
137.172;Cb:maj6
137.752;C:dim
138.124;Db:maj
139.726;Db:maj
140.574;Ab:maj
141.584;Ab:sus4/2
142.048;Ab:min/b3
142.489;Ab:maj/3
142.907;Db:min/5
143.279;D:dim
144.01;Eb:min7
146.17;Db:min/5
147.609;Db:maj
150.872;Db:7
151.429;Eb:min7/2
151.905;Db:maj/5
152.578;Db:maj/5
153.159;Eb:min7/2
153.588;Db:maj/5
154.331;Gb:7
156.177;Db:maj
157.733;Gb:7
159.881;Db:maj
161.321;Gb:7
163.016;Db:maj
164.606;Gb:7
166.29;Db:min(*b3,*5)
166.89;Eb:min(*b3,*5)
167.322;Fb:min(*b3,*5)
167.755;Eb:min(*b3,*5)
168.136;Gb:7
169.877;Db:7
171.479;Gb:7
173.163;Db:min(*b3,*5)
173.755;Eb:min(*b3,*5)
174.15;Fb:min(*b3,*5)
174.591;Eb:min(*b3,*5)
175.264;Db:maj6
176.744;Bb:min
178.26;Eb:7
180.129;Ab:maj
181.754;Db:maj
183.658;F:min
185.307;Ab:7
187.014;Db:maj
190.462;F:min
192.122;Ab:7
193.887;Db:maj
197.602;Gb:sus2(4)
198.902;Db:maj6
200.802;Bb:min
202.304;Db:7
202.85;Eb:min7
203.326;Db:maj/3
204.022;Db:maj/3
204.579;Eb:min7/b3
205.032;Db:maj/5
206.147;Db:maj6
207.63;Bb:min
209.734;C:min(*b3,*5)
210.141;Ab:min/b3
212.59;Db:maj
214.007;N
