t;chord
0.0;N
0.058;E:min/b3
1.358;F:maj/3
2.659;G:maj/3
3.971;F:maj/3
5.271;E:min/b3
6.583;F:maj/3
7.883;G:maj/3
9.183;F:maj
10.484;C:maj7
11.796;F:maj/5
13.096;C:maj9
14.396;F:maj/5
15.708;C:maj7
17.009;F:maj/5
18.321;C:maj9
19.609;F:maj/5
20.921;C:maj
22.221;F:maj7
23.483;E:min
24.822;A:min7
26.146;D:min7
28.735;G:9
30.0;G:7
31.359;C:maj
32.664;F:maj7
33.971;E:min
35.271;A:min7
36.583;D:min7
39.172;G:9
40.465;G:7
41.796;E:min7
44.397;A:min7
46.684;D:min7
48.309;G:sus4(b7)
49.25;C:maj7
50.91;B:hdim7
51.583;E:7
52.233;A:min7
53.545;G:min7
54.195;C:7
54.846;F:maj7
55.821;C:maj/3
56.471;D:min7
57.423;Bb:maj7
59.675;A:sus4
63.321;A:7
65.283;D:maj
67.804;D:maj7
72.725;D:7
75.709;G:maj
78.309;D:maj/3
80.922;E:min7
83.534;D:maj/2
85.159;A:maj
86.146;D:maj
88.352;D:maj7
93.615;D:7
96.583;G:maj
99.172;D:maj/3
101.796;E:min7
104.409;G:min
106.672;Ab:maj9
112.199;Ab:maj7
114.841;G:min7
117.453;F:min7
120.036;Eb:maj7/5
122.659;F:maj7
125.272;E:min7
127.884;D:min7
130.485;G:maj6
131.785;G:7
133.085;C:maj
134.397;F:maj9
135.706;E:min7
136.998;A:min7
138.31;D:min7
140.91;G:9
142.222;G:7
143.534;C:maj7
144.824;F:maj9
146.1;E:min7
147.435;A:min7
148.724;D:min7
151.348;G:9
152.648;G:7
153.948;E:min7
156.526;A:min7
158.836;D:min7
160.125;G:9
161.42;C:maj7
163.037;B:min7
163.739;E:7
164.397;A:min7
165.716;G:min7
166.351;C:7
167.01;F:maj7
167.985;E:min
168.635;D:min7
169.61;Bb:maj7
171.886;D:maj/5
175.485;A:7
176.135;G:maj
176.774;A:7
177.447;D:maj
179.739;D:maj7
184.98;D:7
187.873;G:maj
190.485;D:maj/3
193.086;E:min7
195.624;G:maj
197.335;A:maj
198.31;D:maj
200.573;D:maj7
205.78;D:7
208.747;G:maj
211.348;D:maj/3
213.949;E:min7
216.561;G:min
218.848;E:min7
221.797;D:maj/5
223.097;A:7
224.398;D:maj
226.661;D:maj7
231.869;D:7
234.835;G:maj
237.424;D:maj/3
240.06;E:min7
242.66;G:maj
244.286;A:maj
245.272;D:maj
247.52;D:maj7
252.702;D:7
255.698;G:maj
258.31;D:maj/3
260.586;E:min7
263.512;G:min
265.81;D:maj
268.748;D:maj7
270.048;G:maj/5
271.348;A:maj/3
272.649;G:maj/3
273.961;F#:min/b3
275.261;G:maj/3
276.561;A:maj/3
277.873;G:maj/3
279.174;F#:min/b3
280.474;G:maj/3
281.774;A:maj/5
283.086;G:maj/3
284.386;F#:min/b3
285.687;G:maj/3
286.999;A:maj/3
288.299;G:maj/3
289.599;N
