t;chord
0.0;N
0.07;G:maj
0.998;A:maj
1.91;F#:min
2.821;B:min7
3.75;E:min7
4.69;F#:min7
5.608;G:maj7
6.506;A:maj
7.431;G:maj
8.371;A:maj
9.288;F#:min
10.217;B:min7
11.108;G:maj
12.063;F#:min7
12.98;E:7
14.838;G:maj
15.755;A:maj6
16.647;F#:min7
17.589;B:min7
18.518;E:min7
19.447;F#:min7
20.364;G:maj7
21.293;A:maj
22.221;G:maj
23.139;A:maj6
24.033;F#:min7
24.985;B:min7
25.902;G:maj7
26.831;F#:min7
27.748;E:maj
31.44;F:maj7
35.132;G:7/b7
38.824;F:min7
42.516;Bb:maj/5
45.267;N
46.196;E:min7
49.888;C:maj7
53.592;A:min7
57.284;D:maj
59.13;B:7
60.976;E:min7
64.668;C:maj7
68.36;A:min7
72.052;D:maj6
73.898;B:7
75.755;C:maj7
77.589;B:min
79.435;A:maj
83.139;C:maj7
84.985;B:min7
85.902;E:min7
86.831;A:maj
88.677;B:sus4
89.584;B:maj
90.535;G:maj
91.44;A:maj6
92.355;F#:min7
93.286;B:min7
94.203;E:min7
95.132;F#:min7
96.061;G:maj7
96.99;A:maj
97.919;G:maj6
98.836;A:maj6
99.762;F#:min7
100.67;B:min7
101.599;G:maj7
102.516;F#:min7
103.433;E:maj
107.125;F:maj7
110.829;G:7/b7
114.521;F:min7
118.213;Bb:maj/5
120.976;N
121.894;E:min7
125.597;C:maj7
129.277;A:min7
132.981;D:maj
134.827;B:7
136.673;C:maj7
138.519;B:min
140.353;A:7
144.057;C:maj7
145.903;B:min7
146.82;E:min
147.749;A:maj
149.595;B:sus4
150.498;B:maj
151.249;G:maj
152.369;A:maj
153.287;F#:min7
154.204;B:min7
155.133;E:min7
156.061;F#:min7
156.979;G:maj7
157.907;A:maj
158.824;G:maj
159.753;A:maj
160.698;F#:min7
161.599;B:min7
162.516;G:maj7
163.445;F#:min7
164.362;E:maj
166.208;G:maj
167.137;A:maj
168.066;F#:min7
168.983;B:min7
169.9;E:min7
170.829;F#:min7
171.746;G:maj
172.683;A:maj
173.604;G:maj
174.51;A:maj
175.438;F#:min7
176.398;B:min7
177.284;G:maj7
178.213;F#:min7
179.13;E:maj
182.834;B:min7
186.514;E:maj/3
190.228;G:maj7
193.91;E:min7
195.744;F#:min7
197.59;B:min7
201.282;E:maj/3
204.986;G:maj7
208.697;E:min7
210.512;F#:min7
212.382;G:maj
213.281;A:maj
214.188;F#:min7
215.133;B:min7
216.059;E:min7
216.979;F#:min7
217.896;G:maj
218.834;A:maj
219.721;G:maj
220.659;A:7
221.6;F#:min7
222.517;B:min7
223.457;G:maj7
224.363;F#:min7
225.28;E:maj
227.138;G:maj
228.066;A:maj6
228.98;F#:min7
229.901;B:min7
230.83;E:min7
231.758;F#:min7
232.676;G:maj7
233.593;A:maj
234.522;G:maj
235.439;A:maj
236.386;F#:min7
237.285;B:min7
238.214;G:maj7
239.142;F#:min7
240.06;E:maj
241.905;G:maj
242.823;A:maj
243.751;F#:min
244.661;B:min
245.586;E:min7
246.515;F#:min7
247.443;G:maj7
248.361;A:maj
249.289;G:maj
250.207;A:maj
251.14;F#:min7
252.053;B:min7
252.981;G:maj7
253.91;F#:min7
254.827;E:maj
256.662;G:maj
257.591;A:maj
258.519;F#:min7
259.437;B:min7
260.365;E:min7
261.294;F#:min7
262.211;G:maj7
263.14;A:maj
264.057;G:maj
264.975;A:maj
265.894;F#:min7
266.82;B:min7
267.749;G:maj7
268.678;F#:min7
269.595;E:7
271.441;G:maj7
272.37;A:maj
273.287;F#:min7
274.204;B:min7
275.133;E:min7
276.062;F#:min7
276.979;G:maj7
277.908;A:maj
278.825;G:maj
279.742;A:maj6
280.677;F#:min7
281.588;B:min7
283.899;N
