t;chord
0.0;N
0.882;A:maj
13.34;E:maj6
14.629;D:maj7
16.335;C#:min7
18.054;B:min7
19.342;A:maj7
21.49;D:maj7
22.779;C#:min7
24.915;B:min7
26.192;A:maj7
28.34;B:min9
31.765;C#:min9
35.201;B:min9
38.58;E:maj
42.051;D:maj7
43.34;C#:min7
45.476;B:min7
46.765;A:maj7
48.913;D:maj7
50.62;C#:min7
52.338;B:min7
53.796;A:maj7
55.774;B:min9
59.199;C#:min7
62.612;B:min7
66.061;F:maj
67.543;E:maj
69.486;A:maj
71.192;A#:dim
72.911;B:min7
74.629;D:min7
76.347;C#:min
77.796;F#:7
79.772;B:min7
81.224;E:maj
83.197;A:maj
88.735;E:maj6
90.044;D:maj7
91.765;C#:min7
93.484;B:min7
94.971;A:maj7
96.908;D:maj7
98.4;C#:min7
100.345;B:min7
101.845;A:maj7
103.77;B:min9
107.195;C#:min9
110.62;B:min9
114.056;D:min7
115.543;E:7
117.453;A:maj
119.207;A#:dim
120.918;B:min7
122.625;D:min7
124.343;C#:min
125.632;F#:7
127.768;B:min7
129.313;E:maj
131.204;A:maj
132.924;A#:dim
134.629;B:min7
136.082;D:min7
138.054;C#:min
139.967;F#:7
141.491;B:min7
142.939;E:maj
144.916;D:min
148.294;A:maj6
151.766;D:min7
155.188;E:maj
157.306;F#:min7
158.627;B:min9
162.064;C#:min9
165.489;B:min9
168.914;D:min7
170.416;E:maj
172.349;A:maj
174.057;A#:dim
175.739;B:min7
177.224;D:min7
179.167;C#:min
181.065;F#:7
182.625;B:min7
184.37;E:maj
186.061;A:maj
187.768;A#:dim
189.486;B:min7
190.955;D:min7
192.911;C#:min
194.416;F#:7
196.098;B:min7
198.043;E:maj
199.825;A:maj
212.163;E:maj
213.275;A#:sus2
215.191;A:maj6
221.321;N
