t;chord
0.0;N
0.058;A:maj7
2.206;G#:min7
4.656;F#:min7
9.242;G#:min7
9.845;A:maj7
11.993;G#:min
14.443;F#:min7
16.893;B:sus4(b7)
18.413;N
19.644;E:maj
22.105;G#:min7
24.23;E:maj/5
24.543;F#:min7
27.005;B:sus4
28.212;B:7
29.431;E:maj
31.893;B:maj
34.342;A:maj6
36.769;B:sus4
38.011;B:maj
39.242;A:maj7
41.691;B:maj
42.91;G#:7
44.13;C#:min
45.36;B:maj
46.591;A:maj
48.727;B:maj
50.25;N
51.479;E:maj
53.613;B:maj
56.076;A:maj7
58.517;F#:min9
60.058;B:maj
61.277;E:maj/5
63.727;A:maj
64.946;B:maj
65.573;G#:7
66.188;C#:min7
68.313;F#:min7
69.847;B:maj/5
71.076;E:maj
73.208;B:maj
75.662;A:maj
78.1;F#:min7
79.644;B:maj
80.862;G#:min
83.313;A:maj
84.544;B:maj
85.763;C#:min7
86.994;B:maj
88.213;E:maj
93.124;C#:min7
95.573;A:maj
96.627;B:maj
98.0;E:maj
100.158;A:maj
101.68;N
102.911;E:maj
105.361;B:maj
107.81;A:maj
110.26;B:sus4
112.091;B:maj
112.71;E:maj
115.148;B:maj
117.609;A:maj
120.059;B:sus4
121.885;B:maj
122.508;A:maj7
124.958;B:maj
126.177;G#:maj/3
127.396;C#:min
128.639;B:maj
129.846;A:maj
132.005;B:sus4
132.601;B:maj
133.517;N
134.745;E:maj
136.883;B:maj
139.343;A:maj7
141.754;F#:min
143.325;B:maj
144.544;G#:min7
146.994;A:maj
148.213;B:maj
148.816;G#:maj/3
149.444;C#:min7
151.58;F#:min7
153.124;B:maj
154.343;E:maj
156.491;B:maj
158.929;A:maj7
161.353;F#:min7
162.911;B:maj
164.13;G#:min
166.58;A:maj
167.811;B:maj
169.041;F#:min7
170.272;B:maj
171.479;A:maj7
172.698;B:maj
173.929;C#:min7
176.379;A:maj7
177.598;B:maj
178.828;E:maj
181.278;A:maj7
182.497;B:maj
183.728;C#:min7
186.178;A:maj
187.397;B:maj
188.627;C#:min7
191.077;F#:min7
193.213;B:sus4
193.829;B:maj
194.739;N
195.931;E:maj
198.108;B:maj
200.562;A:maj
203.0;F#:min7
204.545;B:maj
205.764;G#:min
208.212;A:maj
209.444;B:maj
210.071;G#:maj/3
210.675;C#:min7
212.788;F#:min7
214.333;B:maj
215.574;E:maj
217.7;B:maj
220.16;A:maj
222.598;F#:min7
224.142;B:maj
225.361;G#:min
227.799;A:maj
229.03;B:maj
230.261;F#:min7
231.48;B:maj
232.702;E:maj
235.148;F#:min7
237.296;B:sus4
237.912;B:maj
240.048;A:maj7
242.196;G#:min
244.645;F#:min7
249.231;G#:min7
249.835;A:maj7
251.995;G#:min7
254.444;F#:min7
256.894;B:sus4
258.407;N
259.634;E:maj
264.951;N
