t;chord
0.0;N
0.139;G:maj
3.785;C:maj
7.406;C:maj(2)
8.322;C:maj
9.229;C:maj7
10.153;C:maj
11.053;D:min(2)
11.959;D:min
12.863;D:min(7)
13.773;D:min/5
14.687;C:maj(2)
15.586;C:maj
16.496;C:maj7
17.412;C:maj
18.332;D:min(2)
19.231;D:min
20.149;D:min(7)
21.047;D:min/5
21.966;C:maj(2)
22.867;C:maj
23.778;C:maj7
24.696;C:maj
25.6;D:min(2)
26.502;D:min
27.422;D:min(7)
28.169;D:min/5
29.246;C:maj(2)
30.141;C:maj
31.063;C:maj7
31.969;C:maj
32.868;D:min(2)
33.778;D:min
34.686;D:min(7)
35.461;D:min/5
36.513;C:maj(2)
37.301;C:maj
38.315;C:maj7
39.235;C:maj
40.147;D:min(2)
40.898;D:min
41.969;D:min(7)
42.855;D:min/5
43.781;C:maj(2)
44.68;C:maj
45.604;C:maj7
46.508;C:maj
47.427;Db:maj7
48.324;Db:maj6
49.241;F:7/b7
50.143;Db:maj6
51.072;Db:maj7
52.883;Eb:7
54.695;Ab:maj9
56.506;F:min
58.34;Db:maj7
60.151;Eb:7
61.962;Ab:maj9
63.774;F:min
65.608;Bb:min7
67.419;Eb:maj
69.242;C:min7
71.053;F:maj
72.887;Bb:min
74.699;Eb:7
76.51;Ab:maj
78.321;G:7
80.144;C:maj(2)
81.049;C:maj
81.966;C:maj7
82.873;C:maj
83.789;D:min(2)
84.68;D:min
85.594;D:min(7)
86.486;D:min/5
87.423;C:maj(2)
88.318;C:maj
89.234;C:maj7
90.141;C:maj
91.057;D:min(2)
91.947;D:min
92.876;D:min(7)
93.812;D:min/5
94.703;C:maj(2)
95.594;C:maj
96.502;C:maj7
97.42;C:maj
98.325;D:min(2)
99.231;D:min
100.171;D:min(7)
101.035;D:min/5
101.97;C:maj(2)
102.863;C:maj
103.786;C:maj7
104.69;C:maj
105.593;D:min(2)
106.5;D:min
107.439;D:min(7)
108.344;D:min/5
109.238;C:maj(2)
110.155;C:maj
111.053;C:maj7
111.961;C:maj
112.872;D:min(2)
113.761;D:min
114.683;D:min(7)
115.586;D:min/5
116.506;C:maj(2)
117.4;C:maj
118.329;C:maj7
119.241;C:maj
120.14;D:min(2)
121.045;D:min
121.998;D:min(7)
122.861;D:min/5
123.786;F:maj7
125.608;G:7
127.42;C:maj
129.231;A:min
131.053;F:maj7
132.876;G:7
134.699;C:maj7
136.51;A:min
138.333;D:min7
140.144;G:maj
141.967;E:min7
143.79;A:maj
145.601;D:min7
147.412;G:maj
149.224;C:maj
152.869;Db:maj7
154.691;Eb:7
156.502;Ab:maj9
158.3;F:min
160.16;Db:maj7
161.971;Eb:7
163.782;Ab:maj9
165.593;F:min
167.416;Bb:min7
169.239;Eb:maj
171.05;C:min7
172.884;F:maj
174.684;Bb:min
176.495;Eb:maj
178.329;C:min7
180.14;F:maj
181.975;Db:maj7
183.786;Eb:7
185.609;Ab:maj9
187.42;F:min
189.243;Db:maj7
191.054;Eb:7
192.877;Ab:maj9
194.688;F:min
196.51;Bb:min7
198.333;Eb:maj
200.156;C:min7
201.967;F:maj
203.778;Bb:min
205.58;Eb:maj7
207.412;Ab:maj
209.247;G:7
211.476;C:maj
216.538;N
