t;chord
0.0;N
0.104;E:min7
2.554;F#:min
3.773;A:maj
5.004;E:min7
7.442;F#:min
8.673;F:9
9.88;E:min7
12.318;F#:min7
14.78;E:min7
17.218;F#:min7
19.679;E:min7
22.117;F#:min7
24.578;E:min7
27.016;F#:min7
28.247;G:maj
29.478;E:min7
31.916;F#:min7
34.377;E:min7
36.815;D:maj7
39.277;E:min7
41.715;F#:min7
42.945;F:9
44.164;E:min7
45.395;F#:min7
46.945;B:min9
47.38;A:min
47.865;B:min9
49.064;E:min
51.513;F#:min7
53.963;E:min7
56.413;D:maj7
58.863;E:min7
61.312;F#:min7
62.531;F:7
63.762;E:min7
64.993;F#:min7
66.529;B:min9
66.99;A:min
67.442;B:min9
68.65;G:maj/2
75.697;B:min9
78.449;G:maj/2
83.36;G#:min
88.247;G:maj
93.158;G#:min
98.046;G:maj
101.727;G:maj9
102.946;E:min
105.384;F#:min7
107.833;E:min7
110.283;D:maj7
112.744;E:min
115.183;F#:min7
116.413;F:9
117.644;E:min
118.875;F#:min
120.417;B:min9
120.882;A:min
121.313;B:min9
122.532;E:min7
124.981;F#:min7
127.431;E:min7
129.881;D:maj7
132.331;E:min7
134.78;F#:min
136.011;F:9
137.218;E:min9
138.461;F#:min7
139.97;B:min9
140.476;A:min
140.91;B:min9
142.118;E:min9
144.579;F#:min7
147.017;E:min7
149.467;D:maj7
151.917;E:min7
154.366;F#:min7
155.609;F:7
156.816;E:min7
158.047;F#:min
159.579;B:min9
160.032;A:min
160.485;B:min9
161.715;G:maj/2
169.064;B:min7
171.514;G:maj/2
176.414;G#:min7
181.313;G:maj
186.212;G#:min7
191.112;G:maj
194.781;G:maj7
200.899;N
