t;chord
0.0;N
1.747;G:maj
12.545;C:maj
13.894;G:maj
14.637;C:maj
15.396;G:maj
16.163;C:maj
16.957;G:maj
17.677;C:maj
19.987;G:maj
20.702;C:maj
21.51;G:maj
22.243;C:maj
22.981;G:maj
23.739;C:maj
26.062;G:maj
26.847;C:maj
27.604;G:maj
28.321;C:maj
29.043;G:maj
29.827;C:maj
32.133;G:maj
32.934;C:maj
33.692;G:maj
34.419;C:maj
35.12;G:maj
35.899;C:maj
38.262;G:maj
39.0;C:maj
39.769;G:maj
40.521;C:maj
41.249;G:maj
42.001;C:maj
44.278;G:maj
45.0;C:maj
45.845;G:maj
46.561;C:maj
47.274;G:maj
48.073;C:maj
51.873;Eb:maj
53.406;G:maj
56.436;C:maj
57.957;Eb:maj
59.478;G:maj
63.294;C:maj
64.01;G:maj
64.784;C:maj
65.5;G:maj
66.286;C:maj
68.602;G:maj
69.339;C:maj
70.176;G:maj
70.904;C:maj
71.618;G:maj
72.392;C:maj
76.173;Eb:maj
77.706;G:maj
80.747;C:maj
82.257;Eb:maj
83.778;B:maj
85.299;D:maj
86.819;G:maj
88.34;A:min
89.861;C:maj7
91.347;D:maj
92.891;G:maj
94.412;A:min
95.922;C:maj7
97.42;D:maj
98.963;G:maj
100.496;A:min
102.005;C:maj7
103.526;D:maj
105.047;G:maj
106.568;A:min
108.077;C:maj7
109.598;D:maj
111.088;G:maj
111.874;C:maj
112.652;G:maj
113.395;C:maj
114.161;G:maj
114.916;C:maj
117.223;G:maj
117.957;C:maj
118.712;G:maj
119.435;C:maj
120.249;G:maj
120.988;C:maj
123.24;G:maj
124.0;C:maj
124.767;G:maj
125.563;C:maj
126.302;G:maj
127.037;C:maj
129.387;G:maj
130.132;C:maj
130.841;G:maj
131.624;C:maj
132.359;G:maj
133.167;C:maj
135.443;G:maj
136.212;C:maj
136.995;G:maj
137.752;C:maj
138.489;G:maj
139.22;C:maj
141.499;G:maj
142.22;C:maj
143.004;G:maj
143.771;C:maj
144.522;G:maj
145.257;C:maj
149.095;Eb:maj
150.616;G:maj
153.658;C:maj
155.167;Eb:maj
156.688;B:maj
158.209;D:maj
159.73;G:maj
161.251;A:min
162.772;C:maj7
164.278;D:maj
165.802;G:maj
167.323;A:min
168.844;C:maj7
170.351;D:maj
171.886;G:maj
173.395;A:min
174.916;C:maj7
176.408;D:maj
177.958;G:maj
179.479;A:min
180.988;C:maj7
182.498;D:maj
184.05;G:maj
184.801;C:maj
185.583;G:maj
186.335;C:maj
187.113;G:maj
187.84;C:maj
190.114;G:maj
190.865;C:maj
191.601;G:maj
192.386;C:maj
193.1;G:maj
193.9;C:maj
196.174;G:sus4
203.465;N
