t;chord
0.0;N
0.116;F#:sus2
2.786;C#:maj6(4)/3
5.317;D#:min7(4)
8.011;G#:sus4(b7)
9.334;F#:maj/5
10.008;C#:maj
10.658;F#:maj
13.386;G#:sus4(b7)
16.045;G#:min6(b7)
18.715;C#:sus2(4)
21.397;F#:maj
24.056;C#:maj6/3
26.703;D#:sus4/5
28.003;D#:min
29.385;B:min/b3
30.708;C#:sus4
31.324;C#:maj
32.055;F#:maj
34.714;C#:maj6/3
37.384;F#:sus2(6)
40.054;B:maj/2
41.378;C#:maj
42.051;G#:min
42.388;A#:min
42.713;B:maj
44.048;F#:maj
45.302;C#:sus4
46.695;C#:maj
48.054;B:maj
49.377;F#:maj
50.712;C#:sus4
52.036;C#:maj
53.371;B:maj
54.718;A#:maj
56.053;D#:min
57.377;A#:min/b3
58.712;B:maj9
61.382;C#:sus2(4)
64.041;C#:maj
66.688;F#:maj
69.381;F#:aug
72.04;D#:min
74.71;C#:min
75.709;F#:7
77.38;B:maj
80.039;G#:min7
82.709;C#:maj
87.713;F#:maj
90.674;F#:aug
93.391;D#:min
96.049;C#:min
97.384;F#:maj/5
98.708;B:maj
100.705;B:min
101.378;F#:maj/5
103.375;C#:maj
104.049;F#:maj
112.048;C#:maj6/3
114.707;D#:sus4/5
115.705;D#:min
117.377;B:min/b3
118.712;C#:7(b2)
119.374;C#:7
120.036;F#:maj
122.706;C#:maj6/3
124.041;A#:maj/5
125.376;G#:maj/5
126.375;D#:min7
129.382;C#:maj
130.043;G#:min
130.38;A#:min
130.705;B:maj
132.04;F#:maj
133.352;C#:maj
136.046;B:maj
137.381;F#:maj
138.67;C#:sus4
140.016;C#:maj
141.386;B:maj
142.71;A#:maj
144.045;D#:min
145.38;A#:min/b3
146.715;B:maj9
149.374;C#:sus2(4)
152.033;C#:maj
154.668;F#:maj
157.385;F#:aug
160.055;D#:min
162.714;C#:min
163.712;F#:7
164.711;C#:min
165.384;B:maj
168.043;G#:min7
170.701;C#:maj
176.054;F#:maj
178.712;F#:aug
181.383;D#:min
184.03;C#:min
185.377;F#:maj/5
186.712;B:maj
188.709;B:min
189.382;F#:maj/5
191.379;C#:maj
192.052;F#:maj
194.63;F#:7
197.37;B:maj
199.703;F#:maj
202.733;G#:sus2(b7)
204.034;D#:min7
205.044;C#:maj/3
205.369;F#:maj
206.716;F#:7
208.039;B:maj
210.709;F#:maj
213.38;D:maj
216.038;E:maj6
218.047;F#:maj
221.379;F#:aug
224.049;D#:min
226.708;C#:min
227.706;F#:7
229.378;B:maj
232.049;G#:min7
234.707;C#:maj
240.033;F#:maj
242.718;F#:aug
245.377;D#:min
248.047;C#:min
249.382;F#:maj/5
250.717;B:maj
252.703;G#:dim
253.376;F#:maj/5
255.373;C#:maj6
256.046;F#:sus2
258.705;C#:maj6(4)
261.375;D#:min7(4)
264.046;G#:sus4(b7)
265.381;F#:maj/5
265.992;C#:maj
266.704;F#:maj
269.375;C#:maj
272.033;G#:min7
274.715;F#:maj6
276.573;G#:min7
278.988;F#:maj
286.546;N
