t;chord
0.0;N
0.038;A:min
12.796;D:min/5
15.332;A:min
17.9;D:min/5
19.494;G:maj
20.444;F:maj
21.763;E:7
23.02;A:min
24.294;D:7
25.565;D:min
26.873;E:min7/b7
28.1;A:min
29.045;A:maj
30.635;F:maj9
31.994;G:maj
33.219;A:min
35.73;F:maj9
36.964;G:maj
38.047;A:min
38.661;G:maj
39.282;F:maj
39.919;G:maj
40.898;F:maj9
42.181;G:maj
43.43;A:min
45.985;D:7
46.903;D:min
48.198;E:min7
51.086;A:min
53.646;D:min/5
56.15;E:min
58.758;A:min
61.342;A:min
63.87;D:min/5
66.41;E:min
68.985;A:min
71.51;F:maj
74.164;E:min
76.69;A:min
89.341;A:min
91.906;D:min/5
94.389;A:min
97.096;D:min/5
99.498;F:maj
100.885;E:7
102.133;A:min
103.317;D:7
104.749;D:min
105.941;E:min7
107.269;A:min
108.152;A:maj
109.662;F:maj9
111.118;G:maj
112.402;A:min
114.921;F:maj9
116.273;G:maj
117.307;A:min
117.724;G:maj
118.451;F:maj
119.059;G:maj
119.98;F:maj9
121.283;G:maj
122.54;A:min
125.033;D:7
126.257;D:min
127.464;E:min7
130.23;A:min
132.771;D:min/5
135.336;E:min
137.856;A:min
140.433;A:min
142.944;D:min/5
145.541;E:min
148.168;A:min
150.736;F:maj
153.24;E:min
155.72;A:min
158.309;N
158.519;N
158.879;N
159.207;N
160.889;A:min
163.505;C:maj
165.96;F:maj6
168.528;E:7
171.057;A:min
173.624;C:maj
176.2;F:maj6
178.683;E:7
179.038;E:7
180.316;E:maj6(b2)
181.197;A:min
183.846;D:min/5
186.374;E:min
188.966;A:min
191.478;A:min
194.148;D:min/5
196.621;E:min
198.863;A:min
201.742;F:maj
204.262;E:min
206.854;A:min
239.304;N
