t;chord
0.0;N
0.058;N
2.206;E:maj
4.319;F#:7/b7
6.482;A:maj/5
8.603;E:maj
10.209;B:maj
10.746;E:maj
12.865;F#:7/b7
15.029;A:maj/5
17.189;E:maj
18.209;B:sus4
18.809;B:maj
19.363;E:maj
21.455;B:maj/4
23.626;A:maj/5
25.751;E:maj
27.91;C#:min
30.035;F#:maj
32.176;A:maj
34.319;B:sus4
35.399;B:maj
36.432;E:maj
38.593;B:maj/4
40.751;A:maj/5
42.906;E:maj
45.041;C#:min
47.16;F#:maj
49.351;A:maj
51.49;B:maj
53.633;A:maj
55.759;B:maj
57.894;C#:min
60.024;B:min
61.071;E:7
62.195;A:maj
64.337;G#:min7
65.132;C#:7
66.461;F#:maj
67.582;G#:min7
68.65;A:maj
69.695;A#:dim
70.792;B:maj
75.041;E:maj
77.172;F#:7
79.337;A:maj
81.49;B:maj
83.615;G#:min
85.757;C#:min7
87.917;F#:min7
90.059;B:maj
92.195;E:maj
94.331;F#:7
96.473;A:maj
98.615;B:maj
100.763;G#:min7
102.911;C#:min7
105.029;F#:min7
106.121;B:maj
107.186;E:maj
108.24;B:maj
109.349;E:maj9
111.467;G:maj7
113.621;F#:min7
115.769;F:maj9
117.888;E:maj7
120.024;G:maj7
122.189;F#:min7
124.344;B:sus4
125.376;B:maj
126.467;E:maj
128.592;B:maj/4
130.757;A:maj/5
132.905;E:maj
135.065;C#:min
137.201;F#:maj
139.322;A:maj
141.486;B:maj
143.641;A:maj
145.763;B:maj
147.882;C#:min
150.036;B:min
151.092;E:7
152.172;A:maj
154.308;G#:min7
155.144;C#:maj
156.468;F#:maj
157.551;G#:min7
158.637;A:maj
159.698;F#:maj/3
160.776;B:maj
162.978;B:sus4
163.943;B:maj
165.045;E:maj
167.184;F#:7
169.347;A:maj
171.461;B:maj
173.616;G#:min
175.771;C#:min
177.902;F#:min7
180.049;B:maj
182.18;E:maj7
184.327;F#:7
186.465;A:maj
188.604;B:maj
190.784;G#:min
192.906;C#:min7
195.061;F#:min7
196.122;B:maj
197.176;E:maj
198.253;B:maj
199.347;F:maj
201.478;G:7
203.608;Bb:maj
205.78;C:maj
207.91;A:min
210.041;D:min7
212.196;G:min7
214.335;C:maj
216.465;F:maj
218.612;G:7
220.767;Bb:maj
222.898;C:maj
225.059;A:min
227.196;D:min7
229.343;G:min7
230.412;C:maj
231.494;F:maj
232.54;C:maj
233.628;F:maj
235.755;G:7/b7
237.888;Bb:maj/5
240.024;F:maj
241.633;C:maj
242.204;F:maj
244.339;G:7/b7
246.443;Bb:maj/5
248.628;F:maj
250.497;N
