t;chord
0.0;N
0.046;N
0.952;C:maj
2.299;G:maj
3.576;A:min7
4.841;G:maj
6.142;F:maj
7.407;G:maj
8.684;C:maj
9.973;G:maj
11.25;C:maj
12.516;G:maj
13.816;A:min
15.07;G:maj
16.347;F:maj
17.624;C:maj/3
18.913;F:maj
20.178;G:maj
21.467;C:maj
22.721;G:maj
24.009;A:min
25.275;G:maj
26.575;F:maj
27.829;C:maj/3
29.106;F:maj
30.372;C:maj
30.999;G:maj/3
31.649;A:min
32.938;G:maj6
34.226;F:maj7
35.503;G:maj
36.78;A:min
38.058;G:maj6
39.311;F:maj
40.612;G:maj
41.889;A:min
43.143;E:maj/3
44.431;C:maj/5
45.697;F#:dim
46.986;F:maj
49.54;G:maj
50.805;G:7
51.444;G:maj6
52.094;C:maj
53.359;F:maj
54.637;G:maj
55.6;E:maj/3
57.191;A:min
58.143;G:maj6
59.757;F:maj
60.709;G:maj
62.299;C:maj
63.576;F:maj
64.853;G:maj
65.805;E:7
67.396;A:min
68.371;G:maj6
69.973;F:maj7
70.925;G:maj
72.504;F:maj
75.059;C:maj
78.89;G:maj
80.179;A:min
81.444;G:maj
82.721;F:maj
83.998;C:maj/3
85.275;F:maj
86.541;G:maj
87.829;C:maj
89.107;G:maj
90.384;A:min
91.661;G:maj
92.961;F:maj
94.203;C:maj/3
95.492;F:maj
96.758;C:maj
97.384;G:maj/3
98.023;A:min
99.312;G:maj6
100.6;F:maj
101.889;G:maj
103.155;A:min
104.443;G:maj6
105.709;F:maj7
106.986;G:maj6
108.251;A:min
109.517;E:maj/3
110.806;C:maj/5
112.01;F#:dim
113.371;F:maj
115.914;G:maj
118.468;C:maj
119.745;F:maj
121.034;G:maj
121.986;E:maj/3
123.577;A:min
124.529;G:maj6
126.131;F:maj
127.083;G:maj
128.685;C:maj
129.95;F:maj6
131.239;G:maj
132.203;E:maj/3
133.793;A:min
134.745;E:min
136.348;F:maj
137.3;G:maj
138.913;C:maj
141.444;G:maj
143.999;A:min7
146.228;F:maj
147.841;G:maj
149.084;C:maj
151.661;G:maj
154.215;A:min7
156.131;G:maj
156.444;F:maj
158.058;G:maj
158.685;F:maj
159.312;E:min
161.855;F:maj
163.759;C:maj/3
164.397;D:min
166.963;E:min
169.517;F:maj
172.083;G:maj
174.649;C:maj
175.914;F:maj
177.203;G:maj
178.155;E:maj/3
179.734;A:min
180.698;G:7
182.3;F:maj
183.252;G:maj
184.842;C:maj
186.12;F:maj
187.397;G:maj
188.36;E:maj/3
189.962;A:min
190.914;C:maj/5
192.517;F:maj
193.469;G:maj
195.059;F:maj7
197.695;C:maj
205.485;N
