t;chord
0.0;N
2.159;D:maj
3.332;A:maj/3
4.481;B:min7
5.631;A:maj6
6.792;G:maj
7.941;D:maj/3
9.079;G:maj
10.252;A:maj
11.401;D:maj
12.55;A:maj/3
13.711;B:min7
14.698;A:maj6
16.022;G:maj
17.171;A:maj
18.332;G:maj/5
20.604;D:maj
22.955;G:maj/5
25.273;D:maj
27.516;D:maj
29.896;A:maj
32.183;B:min
34.482;A:maj
36.815;G:maj7
39.114;D:maj/3
41.424;G:maj6
43.735;A:maj
46.034;D:maj
48.344;A:maj
50.631;B:min
52.953;A:maj
55.252;G:maj7
57.574;D:maj/3
59.861;G:maj6
62.183;A:maj
64.505;G:maj
66.792;A:maj
69.079;D:maj/3
71.39;G:maj
73.698;G:maj
76.034;A:maj
78.333;A#:dim7
80.353;B:min7
81.804;A:maj
82.651;G:maj
85.217;A:maj7
87.539;D:maj
88.735;A:maj/3
89.884;B:min7
91.034;A:maj6
92.195;G:maj
93.298;D:maj/3
94.505;G:maj
95.655;A:maj
96.804;D:maj
97.942;D:maj/3
99.091;B:min7
100.252;A:maj6
101.413;G:maj
102.574;A:maj
103.724;G:maj
104.583;D:maj
106.049;D:maj
108.333;A:maj
110.655;B:min7
112.977;A:maj
115.275;G:maj7
117.551;D:maj/3
119.896;G:maj7
122.183;A:maj
124.494;G:maj
126.793;A:maj
129.091;D:maj/3
129.962;F#:min
131.111;G:maj
133.69;G:maj
136.022;A:maj
138.333;A#:dim7
140.62;B:min
142.036;A:maj
142.652;G:maj
145.547;A:maj7
147.563;D:maj
148.793;A:maj/3
149.862;B:min7
151.069;A:maj
152.195;G:maj
153.345;D:maj/3
154.46;G:maj
155.667;A:maj
156.804;D:maj
157.965;A:maj/3
159.115;B:min7
160.253;A:maj
161.414;G:maj
162.551;A:maj
163.712;B:min
166.034;F#:maj/3
168.345;F#:min/b3
170.632;E:maj/3
172.954;G:maj
175.253;D:maj/3
177.563;G:maj
179.862;A:maj
184.498;D:maj
185.655;A:maj/3
186.805;B:min7
187.966;A:maj6
189.127;G:maj
190.276;D:maj/3
191.414;G:maj
192.563;A:maj
193.712;D:maj
194.873;A:maj/3
196.034;B:min7
197.172;A:min6
198.333;G:maj
199.483;A:maj
200.644;D:maj
201.793;A:maj/3
202.954;B:min7
204.115;A:maj6
205.264;G:maj
206.425;D:maj/3
207.586;G:maj
208.724;A:maj
209.874;D:maj
211.023;A:maj/3
212.172;B:min7
213.368;A:maj6
214.483;G:maj
215.632;A:maj
216.793;G:maj/5
219.092;D:maj
221.414;G:maj/5
223.722;D:maj
226.008;G:maj/5
228.343;D:maj
230.644;G:maj/5
231.874;G:maj
232.261;D:maj/3
232.803;A:maj7/7
234.15;D:maj
243.206;N
