t;chord
0.0;N
0.929;D:maj
3.216;F#:min7/5
5.538;B:min
7.825;A:maj
10.136;G:maj
12.399;A:maj
14.756;G:maj/5
15.871;D:maj
19.331;D:maj
21.676;F#:min/5
23.998;B:min
26.308;A:maj
28.038;A:maj6
28.619;A#:dim
30.894;B:min
33.228;G:maj
35.538;A:maj
37.825;D:maj
40.147;F#:min
42.458;B:min
44.756;A:maj
46.498;A:maj6
47.078;A#:dim
49.377;B:min
51.688;G:maj
56.297;A:maj
60.024;F#:min
60.918;G:maj
61.788;A:maj
63.193;F#:min
64.099;B:min
65.527;E:min7
67.547;D:maj
68.975;E:min7
69.555;F#:min7
70.136;G:maj
71.018;A:maj
72.458;A#:dim
73.329;B:min
74.745;G:maj7
79.366;A:maj
83.975;D:maj
86.297;A:maj
88.619;B:min
90.918;F#:min/b3
93.228;G:maj
95.539;D:maj/3
97.837;G:maj6
100.136;D:maj
101.262;A:maj
102.446;D:maj
104.745;A:maj
107.067;B:min
109.366;A:maj6
111.688;G:maj
113.998;D:maj/3
116.286;G:maj
118.596;A:maj
120.895;D:maj
123.205;A:maj/3
125.515;B:min
127.826;D:maj/5
130.136;G:maj
132.447;A:maj
134.769;G:maj/5
135.872;D:maj
141.688;F#:min/5
143.999;B:min
146.297;A:maj
148.619;A#:dim
150.918;B:min
153.228;G:maj
155.527;A:maj
157.838;D:maj
160.148;F#:min/5
162.447;B:min
164.757;A:maj6
167.068;A#:dim
169.378;B:min
171.108;D:maj/5
171.677;G:maj
176.298;A:maj
180.001;F#:min
180.907;G:maj
181.789;A:maj
183.217;F#:min
184.088;B:min
185.527;E:min7
187.571;D:maj
188.987;E:min7
189.556;F#:min7
190.137;G:maj
191.007;A:maj
192.424;A#:dim
193.318;B:min
194.757;G:maj7
199.367;A:maj
203.964;D:maj
206.298;A:maj
208.62;B:min
210.895;F#:min/b3
213.217;G:maj
215.528;D:maj/3
217.838;G:maj6
220.137;D:maj
221.251;A:maj
222.447;D:maj
224.758;A:maj
227.056;B:min
229.367;A:maj6
231.689;G:maj
233.987;D:maj/3
236.286;G:maj
238.597;A:maj
240.919;G:maj
243.217;D:maj/3
245.505;E:min7
247.246;D:maj/5
247.827;B:min
248.697;A:maj
250.137;G:maj
252.401;D:maj/3
254.746;F:maj
259.622;A:sus4
261.921;A:maj
263.082;F#:min
263.964;G:maj
264.847;A:maj
266.306;F#:min
267.146;B:min
268.585;E:min7
270.617;D:maj
272.045;E:min7
272.614;F#:min7
273.194;G:maj
274.077;A:maj
275.505;A#:dim
276.387;B:min
277.815;G:maj7
282.448;A:maj
287.045;D:maj
289.367;A:maj
291.677;B:min
293.976;F#:min
296.298;G:maj
298.597;D:maj/3
300.907;G:maj6
303.218;D:maj
304.356;A:maj
305.517;D:maj
307.827;A:maj
310.137;B:min
312.436;F#:min
314.746;G:maj
317.057;D:maj/3
319.356;G:maj
321.678;A:maj
323.988;D:maj
326.298;F#:min7
328.609;B:min
330.919;A:maj
333.206;G:maj
335.517;A:maj
337.839;G:maj/5
338.953;D:maj
351.713;G:maj/5
355.149;D:maj
364.147;N
