t;chord
0.0;N
16.985;A:min
20.364;E:maj/5
24.718;A:min
28.108;E:maj/5
31.974;F:maj7
35.852;E:maj/5
39.718;F:maj7
43.595;E:maj/5
47.462;F:maj7
51.339;E:min7
54.242;E:maj/3
55.205;A:min
57.133;G:min7
58.108;C:maj6
59.072;F:maj7
66.815;E:min7
69.718;E:maj/3
70.693;A:min7
72.632;G:min7
73.596;C:maj6
74.559;F:maj7
78.425;A:min
80.364;E:maj/3
82.303;C:maj/5
84.242;F#:dim
86.181;D:min7
87.144;C:maj/3
88.12;F:maj7
90.035;G:maj6
93.913;C:maj
95.852;G:maj
96.816;C:maj/5
97.779;G:min
99.718;A:min7
101.657;F:min
103.596;C:maj
105.523;D:min7(9)
107.462;G:7(9)
109.401;C:maj
111.321;C:maj7
112.298;C:maj
113.267;C:7
115.206;D:min7
117.145;F:min
119.072;C:maj
121.011;D:min7
122.95;G:maj6/5
124.877;F:maj7
128.755;E:maj/5
132.621;F:maj7
136.499;E:maj/5
140.365;F:maj7
144.242;E:min7
147.145;E:maj/3
148.108;A:min7
150.047;G:min7
151.011;C:7
151.975;F:maj7
159.718;E:min7
162.621;E:maj/3
163.596;A:min7
165.523;G:min7(9)
166.487;C:7(9)
167.457;F:maj7
171.34;A:min
173.267;E:maj/3
175.206;C:maj/5
177.145;F#:hdim7
179.072;D:min7(9)
180.048;E:min7
181.011;F:maj7
182.95;G:7(9)
186.816;C:maj
188.743;G:maj/4
189.713;C:maj
190.688;C:sus4(b7)
192.627;D:min7
194.56;F:min
196.499;C:maj
198.438;D:min
200.359;G:7(9)
202.292;C:maj
204.225;G:maj/4
205.195;C:maj
206.17;C:sus4(b7)
208.109;D:min7
210.048;F:min
211.975;C:maj
213.914;D:min7
215.853;G:7(9)
217.78;F:maj7
221.658;Bb:maj6
225.524;F:maj7(9)
229.396;Bb:maj6
233.268;D:min7
235.207;E:min7
237.134;F:min7
241.012;G:maj6
244.878;C:maj
246.811;G:maj/4
247.774;C:maj
248.744;C:sus4(b7)
250.683;F:maj/5
252.633;F:min
254.56;C:maj
256.488;D:min7(9)
258.426;G:7(9)
260.365;C:maj
262.293;G:maj/4
263.256;C:maj
264.231;C:sus4(b7)
266.17;D:min7
268.109;F:min
270.036;C:maj
271.975;F:maj7
273.903;G:7(9)
275.836;F:maj7
279.719;E:aug
283.585;F:maj7
287.463;E:aug
291.329;F:maj7
295.195;E:aug
299.085;F:maj7
302.939;E:aug
306.805;F:maj7
311.853;N
