t;chord
0.0;N
0.046;C:maj
2.043;G:maj/3
4.052;A:min7
6.049;E:min
8.057;D:min7
10.054;A:min7
12.051;D:dim
14.048;G:7
16.045;C:maj
18.042;G:maj/3
20.05;A:min7
22.059;E:min
24.056;D:min7
26.053;A:min7
28.05;D:hdim7
30.047;G:7
32.044;G#:dim
34.064;A:min
36.049;E:maj/3
38.058;G:min
40.054;D:maj/3
42.051;F:maj
44.048;C:maj/3
46.057;D:min
49.041;G:7
49.54;G#:dim
50.051;A:min
52.048;E:maj/3
54.056;G:min
56.053;D:maj/3
58.05;F:maj
60.047;C:maj/3
62.067;D:min7
64.052;G:7
66.061;C:maj
68.058;G:maj/3
70.055;Bb:maj6
72.052;A:7
74.048;F:min6
76.045;C:maj/5
78.054;D:min
80.0;G:7
82.059;C:maj
84.056;G:maj/3
86.053;G:min/b3
88.062;A:7
90.047;F:min
92.056;C:maj/5
94.052;D:min
96.016;G:7
97.992;C:maj
100.043;G:maj/3
102.052;A:min7
104.049;E:min
106.046;D:min7
108.054;A:min7
110.051;D:hdim7
112.048;G:7
114.056;G#:dim
116.065;A:min
118.05;E:maj/3
120.059;G:min
122.056;D:maj/3
124.053;F:maj
126.061;C:maj/3
128.058;D:min
131.042;G:7
131.541;G#:dim
132.052;A:min
134.049;E:maj/3
136.057;G:min
138.054;D:maj/3
140.051;F:maj
142.048;C:maj/3
144.057;D:min
146.05;G:7
148.05;C:maj
150.059;G:maj/3
152.067;G:min/b3
154.053;A:7
156.05;F:min
158.07;C:maj/5
160.055;D:min
162.089;G:7
164.061;C:maj
166.058;G:maj/3
168.054;G:min/b3
170.063;A:7
172.048;F:min
174.057;C:maj/5
176.065;D:min
178.015;G:7
180.019;F:maj
182.056;F:min
184.065;C:maj
185.47;F:maj
186.032;C:maj
188.047;D:min
189.045;E:min
190.055;F:maj6
192.041;F:min/5
195.086;C:maj
201.572;N
