t;chord
0.0;N
0.058;N
1.997;C:maj6
3.019;Bb:maj6
3.982;F:maj
6.002;C:maj
7.012;Bb:maj
7.988;F:maj
9.509;C:maj/5
10.031;C:maj6
11.018;Bb:maj6
12.016;F:maj
14.025;Bb:maj
14.814;G:maj
15.952;E:min
16.324;F:maj
16.8;G:maj
19.006;C:maj/3
19.981;F:maj
21.002;D:min7
21.978;G:sus4(b7)
22.988;C:maj/3
24.009;F:maj
25.008;D:min7
25.983;G:sus4(b7)
27.016;C:maj/3
27.98;F:maj
29.022;D:min7
29.97;G:sus4(b7)
31.014;C:maj/3
32.009;F:maj
32.976;D:min7
34.017;G:sus4(b7)
35.027;Bb:maj
37.013;A:min
39.01;D:min
39.732;C:maj/3
40.519;F:maj
43.015;D:min
45.012;C:maj/3
47.02;F:maj
47.729;G:maj
49.006;F:maj/3
49.993;G:maj/3
51.014;C:maj
53.011;G:maj
55.02;A:min
57.005;F:maj
58.015;G:maj
58.99;C:maj
61.01;G:maj
63.019;D:min
65.353;C:maj/3
66.014;F:maj
68.963;C:maj6
70.02;Bb:maj6
71.018;F:maj
72.516;Bb:maj6
73.004;C:maj
74.025;Bb:maj
75.291;A:min
75.778;G:maj
77.439;C:maj/3
77.915;F:maj
78.983;D:min7
79.888;G:sus4(b7)
80.956;C:maj/3
82.009;F:maj
83.453;D:min7
83.975;G:sus4(b7)
84.934;C:maj/3
85.961;F:maj
87.01;D:min7
87.917;G:sus4(b7)
89.002;C:maj/3
90.012;F:maj
91.022;D:min7
92.01;G:sus4(b7)
93.031;Bb:maj
95.004;A:min
97.001;D:min
97.744;C:maj/3
98.511;F:maj
101.03;D:min
103.027;C:maj/3
105.024;F:maj
106.011;G:maj6
107.009;F:maj/3
108.008;G:maj/3
109.006;C:maj
111.015;G:maj
113.012;A:min
115.008;F:maj
116.007;G:min
117.017;C:maj
119.014;G:maj
121.022;D:min
123.507;F:maj
127.013;Bb:maj
129.022;F:maj
131.448;C:maj/3
131.994;F:maj
132.412;C:maj/3
132.911;F:maj
133.341;C:maj/3
133.805;G:maj
135.001;Bb:maj
137.009;F:maj
138.96;C:sus4
140.016;G:maj
141.015;F:maj
142.013;G:maj
143.023;C:maj/3
143.987;F:maj
145.009;D:min7
146.03;G:sus4(b7)
147.061;C:maj/3
147.988;F:maj
148.994;D:min7
149.897;G:maj
151.048;C:maj/3
152.018;F:maj
153.008;D:min7
153.989;G:sus4(b7)
155.016;C:maj/3
155.949;F:maj
157.002;D:min7
158.058;G:sus4(b7)
159.01;Bb:maj
161.019;A:min7
163.016;D:min
163.829;C:maj/3
164.525;F:maj
167.021;D:min
169.03;C:maj/3
171.003;F:maj
171.828;G:maj6
172.989;F:maj/3
173.755;G:maj/3
176.495;D:maj
179.026;A:maj
181.011;B:min
182.764;G:maj
184.007;A:maj
185.017;D:maj
187.002;A:maj
189.01;G:maj
191.007;A:maj
193.004;D:maj
195.001;A:maj
197.01;B:min
199.018;G:maj
200.005;A:maj
201.004;D:maj
203.0;A:maj
204.997;E:min
207.356;F#:min
207.72;G:maj
210.957;D:maj6
212.021;C:maj6
212.932;G:maj
215.017;D:maj6
216.015;C:maj6
217.014;G:maj
218.523;D:maj/5
219.045;D:maj6
220.021;C:maj6
221.036;G:maj
223.472;D:maj6
223.99;C:maj6
225.088;G:maj
227.051;D:maj6
227.994;C:maj6
228.964;G:maj
230.949;D:maj6
231.999;C:maj6
233.008;G:maj
235.0;D:maj6
236.015;C:maj6
236.991;G:maj
239.031;D:maj6
239.999;C:maj6
240.992;G:maj
244.506;N
