t;chord
0.0;N
10.739;E:min
40.153;E:min7
41.622;E:min
43.584;C#:dim
45.047;E:min
47.009;E:min7
48.503;E:min
50.431;C#:dim
51.931;C:maj7
55.298;G:maj
57.051;B:min
58.781;A:7
62.183;A:min
63.054;B:min
63.925;C:maj
64.772;D:sus4
65.62;G:maj
69.056;D:maj
72.493;E:min
75.918;C:maj
77.624;F:min
78.483;D:maj
79.343;G:maj
82.768;D:maj
86.204;E:min
89.629;C:maj
91.347;D:maj
92.195;D#:dim
93.054;E:min
95.893;E:min7/b7
96.464;E:min
99.297;E:min7/b7
99.901;E:min
101.875;E:min7
103.325;E:min
105.322;C#:dim
106.727;E:min
108.718;E:min7
110.155;E:min
112.441;C#:dim
113.682;E:min
115.6;E:min7
117.012;E:min
119.012;C#:dim
120.477;E:min
122.433;E:min7
123.91;E:min
125.804;C#:dim
127.338;C:maj7
130.718;G:maj
134.211;A:maj
137.592;A:min
138.484;B:min
139.331;C:maj
140.179;D:maj
141.05;G:maj
144.475;D:maj
147.911;E:min
151.348;C:maj
153.054;F:min
153.913;D:maj
154.761;G:maj
158.186;D:maj
161.634;E:min
165.059;C:maj
166.777;D:maj
167.636;B:maj
168.484;A:min
171.909;C:maj
175.322;G:maj
181.568;F:maj
182.184;Eb:maj
185.609;D:min
187.339;G:min
189.057;C:min
189.916;D:min
190.775;Eb:maj
192.482;C:min
193.341;Bb:maj/3
194.2;Eb:maj
195.412;D:maj
202.768;G:maj
206.182;D:maj
209.607;E:min
213.055;C:maj
214.761;F:min
215.62;D:maj
216.48;G:maj
219.905;D:maj
223.318;E:min
226.766;C:maj
228.473;D:maj
230.191;G:maj
233.604;D:maj
237.041;E:min
240.477;C:maj
242.196;F:min
243.055;D:maj
243.914;G:maj
247.339;D:maj
250.752;E:min
254.177;C:maj
255.896;D:maj
256.766;D#:dim
257.614;E:min
263.866;B:min
264.432;E:min
266.182;A:maj6
267.889;E:min
271.627;N
