t_start;t_end;chord
0.0;0.151;N
0.151;1.393;C:maj
1.393;3.646;C:sus4
3.646;4.83;C:maj7
4.83;6.989;C:sus4
6.989;8.243;C:maj
8.243;10.426;C:sus4
10.426;11.656;C:maj7
11.656;13.839;C:sus4
13.839;15.163;C:maj
15.163;17.287;C:sus4
17.287;18.622;C:maj7
18.622;19.918;C:maj
19.918;20.782;G:maj/5
20.782;22.477;A:min
22.477;24.184;C:maj/5
24.184;25.879;F:maj/5
25.879;27.597;G:7
27.597;33.646;C:maj
33.646;34.493;G:maj/3
34.493;36.188;A:min
36.188;37.872;C:maj/5
37.872;39.592;F:maj7
39.592;41.32;G:maj7
41.32;42.992;F:maj7
42.992;44.722;E:min
44.722;46.417;D:min7
46.417;48.135;C:maj
48.135;49.865;F:maj7
49.865;51.63;E:maj
51.63;55.055;A:min
55.055;58.491;G:sus4(b7)
58.491;61.87;C:maj
61.87;63.599;B:dim
63.599;65.306;E:maj
65.306;67.024;A:min
67.024;68.754;C:maj/5
68.754;70.461;F:maj/5
70.461;71.332;G:sus4
71.332;72.214;G:maj
72.214;75.604;C:maj
75.604;77.29;B:dim
77.29;79.006;E:maj
79.006;80.326;A:min
80.326;82.466;G#:aug
82.466;83.766;C:maj/5
83.766;85.914;A:min
85.914;87.655;F:maj7
87.655;89.35;G:maj/5
89.35;91.011;E:min
91.011;92.751;Eb:maj6
92.751;94.449;D:min7
94.449;96.147;G:7
96.147;98.766;C:maj
98.766;99.648;D:min7
99.648;100.891;C:maj
100.891;103.004;C:sus4
103.004;104.292;C:maj7
104.292;105.616;C:maj
105.616;106.475;G:maj/3
106.475;108.147;A:min
108.147;109.854;C:maj/5
109.854;111.572;F:maj7/5
111.572;112.454;G:sus4
112.454;113.337;G:7
113.337;114.567;C:maj
114.567;116.715;C:sus4
116.715;117.969;C:maj7
117.969;119.304;C:maj
119.304;120.175;G:maj/3
120.175;121.87;A:min
121.87;123.6;C:maj/5
123.6;125.306;F:maj7/5
125.306;126.119;G:sus4(b7)
126.119;127.048;G:7
127.048;128.743;F:maj7
128.743;130.438;E:min
130.438;132.156;F:maj/3
132.156;133.875;C:maj
133.875;135.581;F:maj7
135.581;137.311;E:maj
137.311;140.783;A:min
140.783;147.621;G:sus4(b7)
147.621;151.011;C:maj
151.011;152.686;B:dim
152.686;154.424;E:7
154.424;156.177;A:min
156.177;157.907;C:maj/5
157.907;159.602;F:maj7
159.602;161.309;G:7
161.309;164.746;C:maj
164.746;166.433;B:dim
166.433;168.205;E:7
168.205;169.442;A:min
169.442;171.619;G#:aug
171.619;172.884;C:maj/5
172.884;175.055;F#:maj7
175.055;176.762;F:maj/5
176.762;178.469;G:maj/5
178.469;180.175;E:min
180.175;181.917;Eb:maj6
181.917;183.623;D:min7
183.623;185.342;G:7
185.342;186.662;A:min
186.662;188.767;G#:aug
188.767;190.055;C:maj/5
190.055;192.203;F#:maj7
192.203;193.91;F:maj7
193.91;195.617;G:maj7
195.617;197.288;E:min
197.288;199.02;Eb:maj6
199.02;200.686;D:min7
200.686;204.196;G:sus4(b7)
204.196;205.415;C:maj
205.415;207.552;C:sus4
207.552;208.84;C:maj7
208.84;211.0;C:sus4
211.0;212.323;C:maj
212.323;214.576;C:sus4
214.576;215.98;C:maj7
215.98;220.0;C:sus4
220.0;226.395;C:maj7
226.395;230.893;N
