t_start;t_end;chord
0.0;0.046;N
0.046;1.024;F:maj
1.024;2.004;C:maj/4
2.004;2.757;Bb:maj/5
2.757;4.963;F:maj
4.963;5.943;C:maj/4
5.943;6.692;Bb:maj/5
6.692;8.89;F:maj
8.89;9.871;C:maj/4
9.871;10.629;Bb:maj/5
10.629;12.822;F:maj
12.822;13.81;C:maj/4
13.81;14.563;Bb:maj/5
14.563;16.759;F:maj
16.759;17.743;C:maj/4
17.743;18.486;Bb:maj/5
18.486;20.69;F:maj
20.69;21.68;C:maj/4
21.68;22.416;Bb:maj/5
22.416;23.639;F:maj
23.639;24.627;F:maj
24.627;25.61;C:maj/4
25.61;26.384;Bb:maj/5
26.384;28.555;F:maj
28.555;29.541;C:maj/4
29.541;30.288;Bb:maj/5
30.288;32.49;F:maj
32.49;33.484;C:maj/4
33.484;34.229;Bb:maj/5
34.229;35.445;F:maj
35.445;36.444;F:maj
36.444;37.418;C:maj/4
37.418;38.127;Bb:maj/2
38.127;39.393;C:maj
39.393;40.376;F:maj
40.376;41.351;C:maj/4
41.351;42.09;Bb:maj/5
42.09;44.302;F:maj
44.302;45.29;C:maj/4
45.29;46.266;Bb:maj/2
46.266;47.264;C:maj
47.264;49.226;Bb:maj
49.226;51.188;F:maj/3
51.188;53.162;G:min7
53.162;55.124;F:maj
55.124;57.086;Bb:maj
57.086;59.057;F:maj/3
59.057;62.996;G:min7
62.996;64.958;C:maj
64.958;65.945;F:maj
65.945;66.929;C:maj/3
66.929;68.406;Bb:maj/3
68.406;68.894;C:maj
68.894;69.871;F:maj
69.871;70.859;C:maj/3
70.859;72.337;Bb:maj/3
72.337;72.802;C:maj
72.802;73.81;F:maj
73.81;74.788;C:maj/3
74.788;76.257;Bb:maj/3
76.257;76.777;C:maj
76.777;77.752;Db:maj
77.752;78.739;Eb:maj
78.739;81.68;F:maj
81.68;82.659;C:maj/4
82.659;83.38;Bb:maj/5
83.38;84.627;F:maj
84.627;85.61;F:maj
85.61;86.594;C:maj/4
86.594;87.363;Bb:maj/5
87.363;89.545;F:maj
89.545;90.524;C:maj/4
90.524;91.298;Bb:maj/5
91.298;93.482;F:maj
93.482;94.47;C:maj/4
94.47;95.241;Bb:maj/2
95.241;96.432;C:maj
96.432;97.414;F:maj
97.414;98.392;C:maj/4
98.392;99.135;Bb:maj/5
99.135;101.351;F:maj
101.351;102.342;C:maj/4
102.342;103.102;Bb:maj/2
103.102;104.304;C:maj
104.304;106.278;Bb:maj
106.278;108.24;F:maj/3
108.24;110.214;G:min
110.214;112.176;F:maj
112.176;114.138;Bb:maj
114.138;116.104;F:maj/3
116.104;120.047;G:min7
120.047;122.006;C:maj
122.006;122.992;F:maj
122.992;123.976;C:maj/3
123.976;125.437;Bb:maj/3
125.437;125.927;C:maj
125.927;126.927;F:maj
126.927;127.912;C:maj/3
127.912;129.371;Bb:maj/3
129.371;129.88;C:maj
129.88;130.857;F:maj
130.857;131.847;C:maj/3
131.847;133.312;Bb:maj/3
133.312;133.817;C:maj
133.817;134.803;Db:maj
134.803;135.779;Eb:maj
135.779;139.714;Db:maj
139.714;141.688;Ab:maj/3
141.688;143.65;Gb:maj
143.65;145.125;Db:maj
145.125;145.624;Eb:maj
145.624;147.586;F:min
147.586;149.548;E:aug
149.548;151.522;Ab:maj/5
151.522;153.484;Bb:maj/3
153.484;155.458;Bb:min
155.458;157.42;F:maj
157.42;159.393;G:min7
159.393;161.355;C:7
161.355;162.331;F:maj
162.331;163.318;C:maj/3
163.318;164.786;Bb:maj/3
164.786;165.29;C:maj
165.29;166.263;F:maj
166.263;167.249;C:maj/3
167.249;168.724;Bb:maj/3
168.724;169.212;C:maj
169.212;170.2;F:maj
170.2;171.188;C:maj/3
171.188;172.653;Bb:maj/3
172.653;173.163;C:maj
173.163;174.15;Db:maj
174.15;175.125;Eb:maj
175.125;177.091;F:maj
177.091;178.073;F:maj
178.073;179.051;C:maj/3
179.051;180.529;Bb:maj/3
180.529;181.028;C:maj
181.028;182.01;F:maj
182.01;183.0;C:maj/3
183.0;184.457;Bb:maj/3
184.457;184.955;C:maj
184.955;185.949;F:maj
185.949;186.924;C:maj/3
186.924;188.396;Bb:maj/3
188.396;188.906;C:maj
188.906;189.881;Db:maj
189.881;190.856;Eb:maj
190.856;193.808;F:maj
193.808;194.792;C:maj/4
194.792;195.51;Bb:maj/5
195.51;197.745;F:maj
197.745;198.727;C:maj/4
198.727;199.494;Bb:maj/5
199.494;201.678;F:maj
201.678;202.659;C:maj/4
202.659;203.412;Bb:maj/5
203.412;205.616;F:maj
205.616;206.594;C:maj/4
206.594;207.38;Bb:maj/5
207.38;209.551;F:maj
209.551;210.531;C:maj/4
210.531;211.249;Bb:maj/5
211.249;213.482;F:maj
213.482;214.465;C:maj/4
214.465;215.216;Bb:maj/5
215.216;217.398;F:maj
217.398;218.4;C:maj/4
218.4;219.137;Bb:maj/5
219.137;221.379;F:maj
221.379;226.253;N
