t_start;t_end;chord
0.0;0.038;N
0.038;12.796;A:min
12.796;15.332;D:min/5
15.332;17.9;A:min
17.9;19.494;D:min/5
19.494;20.444;G:maj
20.444;21.763;F:maj
21.763;23.02;E:7
23.02;24.294;A:min
24.294;25.565;D:7
25.565;26.873;D:min
26.873;28.1;E:min7/b7
28.1;29.045;A:min
29.045;30.635;A:maj
30.635;31.994;F:maj9
31.994;33.219;G:maj
33.219;35.73;A:min
35.73;36.964;F:maj9
36.964;38.047;G:maj
38.047;38.661;A:min
38.661;39.282;G:maj
39.282;39.919;F:maj
39.919;40.898;G:maj
40.898;42.181;F:maj9
42.181;43.43;G:maj
43.43;45.985;A:min
45.985;46.903;D:7
46.903;48.198;D:min
48.198;51.086;E:min7
51.086;53.646;A:min
53.646;56.15;D:min/5
56.15;58.758;E:min
58.758;61.342;A:min
61.342;63.87;A:min
63.87;66.41;D:min/5
66.41;68.985;E:min
68.985;71.51;A:min
71.51;74.164;F:maj
74.164;76.69;E:min
76.69;89.341;A:min
89.341;91.906;A:min
91.906;94.389;D:min/5
94.389;97.096;A:min
97.096;99.498;D:min/5
99.498;100.885;F:maj
100.885;102.133;E:7
102.133;103.317;A:min
103.317;104.749;D:7
104.749;105.941;D:min
105.941;107.269;E:min7
107.269;108.152;A:min
108.152;109.662;A:maj
109.662;111.118;F:maj9
111.118;112.402;G:maj
112.402;114.921;A:min
114.921;116.273;F:maj9
116.273;117.307;G:maj
117.307;117.724;A:min
117.724;118.451;G:maj
118.451;119.059;F:maj
119.059;119.98;G:maj
119.98;121.283;F:maj9
121.283;122.54;G:maj
122.54;125.033;A:min
125.033;126.257;D:7
126.257;127.464;D:min
127.464;130.23;E:min7
130.23;132.771;A:min
132.771;135.336;D:min/5
135.336;137.856;E:min
137.856;140.433;A:min
140.433;142.944;A:min
142.944;145.541;D:min/5
145.541;148.168;E:min
148.168;150.736;A:min
150.736;153.24;F:maj
153.24;155.72;E:min
155.72;158.309;A:min
158.309;158.519;N
158.519;158.879;N
158.879;159.207;N
159.207;160.889;N
160.889;163.505;A:min
163.505;165.96;C:maj
165.96;168.528;F:maj6
168.528;171.057;E:7
171.057;173.624;A:min
173.624;176.2;C:maj
176.2;178.683;F:maj6
178.683;179.038;E:7
179.038;180.316;E:7
180.316;181.197;E:maj6(b2)
181.197;183.846;A:min
183.846;186.374;D:min/5
186.374;188.966;E:min
188.966;191.478;A:min
191.478;194.148;A:min
194.148;196.621;D:min/5
196.621;198.863;E:min
198.863;201.742;A:min
201.742;204.262;F:maj
204.262;206.854;E:min
206.854;239.304;A:min
239.304;243.151;N
