t;beat
0.030;1
0.720;2
1.420;1
2.110;2
2.810;1
3.530;2
4.250;1
5.010;2
5.780;1
6.460;2
7.150;1
7.840;2
8.530;1
9.240;2
9.960;1
10.690;2
11.420;1
12.090;2
12.760;1
13.430;2
14.100;1
14.740;2
15.390;1
16.040;2
16.690;1
17.330;2
17.970;1
18.610;2
19.250;1
19.910;2
20.570;1
21.170;2
21.770;1
22.630;2
23.490;1
24.350;2
25.210;1
26.050;2
26.890;1
27.610;2
28.330;1
29.020;2
29.720;1
30.410;2
31.100;1
31.790;2
32.490;1
33.180;2
33.870;1
34.580;2
35.290;1
36.000;2
36.830;1
37.510;2
38.200;1
38.900;2
39.600;1
40.270;2
40.940;1
41.600;2
42.260;1
42.910;2
43.570;1
44.210;2
44.860;1
45.520;2
46.190;1
46.850;2
47.520;1
48.200;2
48.860;1
49.510;2
50.170;1
50.810;2
51.460;1
52.110;2
52.760;1
53.420;2
54.080;1
54.760;2
55.440;1
56.090;2
56.750;1
57.450;2
58.150;1
58.790;2
59.440;1
60.090;2
60.750;1
61.370;2
62.000;1
62.690;2
63.390;1
64.080;2
64.770;1
65.480;2
66.190;1
66.890;2
67.600;1
68.280;2
68.970;1
69.650;2
70.330;1
70.990;2
71.660;1
72.330;2
73.000;1
73.700;2
74.410;1
75.100;2
75.790;1
76.490;2
77.200;1
77.880;2
78.570;1
79.300;2
80.030;1
80.720;2
81.420;1
82.100;2
82.790;1
83.450;2
84.120;1
84.760;2
85.400;1
86.060;2
86.730;1
87.400;2
88.080;1
88.740;2
89.400;1
90.050;2
90.700;1
91.370;2
92.050;1
92.730;2
93.410;1
94.050;2
94.700;1
95.410;2
96.120;1
96.750;2
97.380;1
98.070;2
98.760;1
99.410;2
100.060;1
100.710;2
101.360;1
102.020;2
102.680;1
103.350;2
104.020;1
104.670;2
105.320;1
105.950;2
106.590;1
107.230;2
107.870;1
108.520;2
109.170;1
109.800;2
110.440;1
111.110;2
111.740;1
112.380;2
113.030;1
113.680;2
114.330;1
114.980;2
115.640;1
116.280;2
116.920;1
117.520;2
118.130;1
118.790;2
119.460;1
120.080;2
120.710;1
121.340;2
121.980;1
122.580;2
123.180;1
123.830;2
124.490;1
125.110;2
125.740;1
126.350;2
126.960;1
127.590;2
128.220;1
128.820;2
129.420;1
130.010;2
130.620;1
131.260;2
131.900;1
132.510;2
133.120;1
133.760;2
134.400;1
135.040;2
135.680;1
136.300;2
136.920;1
137.540;2
138.160;1
138.770;2
139.380;1
139.970;2
140.560;1
141.160;2
141.760;1
142.360;2
142.970;1
143.600;2
144.240;1
144.850;2
145.460;1
146.080;2
146.690;1
147.270;2
147.850;1
148.450;2
149.050;1
149.650;2
150.250;1
150.840;2
151.440;1
152.040;2
152.640;1
153.250;2
153.860;1
154.440;2
155.020;1
155.620;2
156.230;1
156.800;2
157.380;1
158.000;2
158.610;1
159.180;2
159.750;1
160.320;2
160.890;1
161.460;2
162.040;1
162.610;2
163.180;1
163.740;2
164.310;1
164.880;2
165.450;1
166.020;2
166.590;1
167.180;2
167.770;1
168.340;2
168.920;1
169.520;2
170.120;1
170.680;2
171.240;1
171.830;2
172.420;1
173.010;2
173.600;1
174.210;2
174.820;1
175.370;2
175.930;1
176.490;2
177.060;1
177.620;2
178.190;1
178.760;2
179.330;1
179.850;2
180.380;1
180.860;2
181.340;1
181.850;2
182.360;1
182.840;2
183.320;1
183.810;2
184.310;1
184.800;2
185.300;1
185.820;2
186.340;1
186.850;2
187.360;1
187.880;2
188.400;1
188.890;2
189.390;1
189.890;2
190.390;1
190.850;2
191.310;1
191.820;2
192.340;1
192.830;2
193.320;1
193.820;2
194.320;1
194.820;2
195.330;1
195.830;2
196.340;1
196.830;2
197.320;1
197.810;2
198.310;1
198.800;2
199.250;1
199.680;2
200.140;1
200.560;2
201.120;1
201.570;2
202.030;1
202.460;2
202.900;1
203.340;2
203.790;1
204.220;2
204.660;1
205.100;2
205.540;1
205.960;2
206.390;1
206.830;2
207.280;1
207.700;2
208.120;1
208.570;2
209.030;1
209.460;2
209.890;1
210.350;2
210.810;1
211.240;2
211.670;1
212.120;2
212.570;1
213.030;2
213.490;1
213.930;2
214.370;1
214.810;2
