t;beat
0.020;1
0.820;2
1.630;3
2.440;4
3.240;1
4.030;2
4.820;3
5.610;4
6.400;1
7.180;2
7.980;3
8.790;4
9.570;1
10.380;2
11.200;3
12.010;4
12.840;1
13.630;2
14.430;3
15.220;4
16.020;1
16.820;2
17.630;3
18.430;4
19.240;1
20.040;2
20.840;3
21.640;4
22.450;1
23.230;2
24.020;3
24.810;4
25.610;1
26.390;2
27.190;3
27.990;4
28.790;1
29.590;2
30.400;3
31.200;4
32.010;1
32.810;2
33.610;3
34.410;4
35.220;1
36.010;2
36.800;3
37.600;4
38.410;1
39.180;2
40.010;3
40.820;4
41.690;1
42.460;2
43.190;3
43.980;4
44.800;1
45.600;2
46.400;3
47.200;4
48.010;1
48.790;2
49.580;3
50.370;4
51.160;1
51.960;2
52.760;3
53.560;4
54.370;1
55.170;2
55.970;3
56.770;4
57.570;1
58.360;2
59.160;3
59.950;4
60.750;1
61.560;2
62.370;3
63.180;4
64.000;1
64.790;2
65.580;3
66.370;4
67.170;1
67.950;2
68.760;3
69.530;4
70.360;1
71.150;2
71.950;3
72.740;4
73.540;1
74.330;2
75.130;3
75.930;4
76.730;1
77.530;2
78.330;3
79.130;4
79.940;1
80.730;2
81.530;3
82.320;4
83.120;1
83.920;2
84.720;3
85.520;4
86.330;1
87.130;2
87.940;3
88.750;4
89.570;1
90.340;2
91.120;3
91.890;4
92.670;1
93.490;2
94.320;3
95.090;4
95.970;1
96.750;2
97.540;3
98.320;4
99.110;1
99.910;2
100.710;3
101.510;4
102.320;1
103.120;2
103.920;3
104.720;4
105.520;1
106.310;2
107.110;3
107.910;4
108.710;1
109.510;2
110.310;3
111.110;4
111.910;1
112.700;2
113.500;3
114.290;4
115.090;1
115.890;2
116.690;3
117.490;4
118.300;1
119.100;2
119.910;3
120.720;4
121.530;1
122.310;2
123.100;3
123.890;4
124.680;1
125.470;2
126.270;3
127.070;4
127.870;1
128.660;2
129.470;3
130.270;4
131.080;1
131.880;2
132.680;3
133.480;4
134.290;1
135.090;2
135.890;3
136.690;4
137.490;1
138.290;2
139.090;3
139.890;4
140.700;1
141.490;2
142.290;3
143.080;4
143.880;1
144.670;2
145.470;3
146.270;4
147.070;1
147.860;2
148.660;3
149.450;4
150.250;1
151.040;2
151.840;3
152.640;4
153.440;1
154.240;2
155.050;3
155.860;4
156.670;1
157.460;2
158.250;3
159.040;4
159.840;1
160.640;2
161.450;3
162.250;4
163.060;1
163.860;2
164.660;3
165.460;4
166.260;1
167.050;2
167.840;3
168.630;4
169.430;1
170.250;2
171.050;3
171.850;4
172.640;1
173.430;2
174.210;3
174.970;4
175.800;1
176.600;2
177.410;3
178.210;4
179.040;1
179.820;2
180.620;3
181.410;4
182.200;1
183.000;2
183.810;3
184.620;4
185.460;1
186.220;2
187.020;3
187.810;4
188.600;1
189.400;2
190.190;3
191.000;4
191.760;1
192.580;2
193.400;3
194.210;4
195.030;1
195.820;2
196.610;3
197.400;4
198.190;1
199.000;2
199.830;3
200.590;4
201.410;1
202.220;2
203.030;3
203.840;4
204.660;1
205.410;2
206.240;3
207.020;4
207.820;1
208.610;2
209.420;3
210.210;4
211.020;1
211.820;2
212.630;3
213.410;4
214.210;1
215.000;2
215.800;3
216.600;4
217.400;1
218.190;2
218.980;3
219.770;4
220.570;1
221.370;2
222.180;3
222.980;4
223.790;1
224.580;2
225.380;3
226.170;4
226.980;1
227.760;2
228.580;3
229.370;4
230.200;1
230.990;2
231.790;1
232.610;2
233.410;3
234.230;4
235.080;1
235.860;2
236.630;3
237.430;4
238.210;1
239.000;2
239.770;3
240.510;4
241.360;1
242.190;2
243.000;3
243.780;4
244.540;1
245.370;2
246.190;3
246.970;4
247.780;1
248.570;2
249.360;3
250.150;4
250.950;1
251.750;2
252.550;3
253.350;4
254.160;1
254.960;2
255.760;3
256.560;4
257.360;1
258.160;2
258.960;3
259.760;4
260.560;1
261.360;2
262.160;3
262.960;4
263.770;1
264.540;2
265.360;3
266.150;4
266.880;1
267.730;2
268.590;3
269.360;4
270.150;1
270.960;2
271.750;3
272.540;4
273.340;1
274.130;2
274.930;3
275.720;4
276.520;1
277.320;2
278.130;3
278.930;4
279.740;1
280.540;2
281.340;3
282.140;4
282.950;1
283.750;2
284.540;3
285.350;4
286.170;1
286.950;2
287.770;3
288.560;4
