t;beat
0.000;1
0.480;2
0.970;3
1.460;4
1.940;1
2.420;2
2.900;3
3.380;4
3.860;1
4.330;2
4.810;3
5.290;4
5.770;1
6.240;2
6.720;3
7.200;4
7.680;1
8.160;2
8.640;3
9.120;4
9.600;1
10.080;2
10.560;3
11.040;4
11.530;1
12.000;2
12.480;3
12.950;4
13.430;1
13.910;2
14.390;3
14.870;4
15.350;1
15.830;2
16.310;3
16.790;4
17.280;1
17.760;2
18.240;3
18.720;4
19.200;1
19.670;2
20.140;3
20.610;4
21.090;1
21.570;2
22.060;3
22.550;4
23.040;1
23.510;2
23.990;3
24.470;4
24.950;1
25.430;2
25.910;3
26.390;4
26.880;1
27.360;2
27.840;3
28.320;4
28.800;1
29.270;2
29.750;3
30.220;4
30.700;1
31.190;2
31.680;3
32.170;4
32.660;1
33.130;2
33.610;3
34.080;4
34.560;1
35.040;2
35.520;3
36.000;4
36.480;1
36.950;2
37.430;3
37.910;4
38.390;1
38.870;2
39.350;3
39.830;4
40.320;1
40.800;2
41.280;3
41.760;4
42.240;1
42.720;2
43.200;3
43.680;4
44.160;1
44.630;2
45.110;3
45.580;4
46.060;1
46.540;2
47.030;3
47.510;4
48.000;1
48.480;2
48.960;3
49.440;4
49.930;1
50.400;2
50.880;3
51.350;4
51.830;1
52.310;2
52.790;3
53.270;4
53.750;1
54.230;2
54.720;3
55.200;4
55.690;1
56.160;2
56.640;3
57.120;4
57.600;1
58.070;2
58.550;3
59.030;4
59.510;1
59.990;2
60.470;3
60.950;4
61.430;1
61.910;2
62.390;3
62.870;4
63.360;1
63.840;2
64.320;3
64.800;4
65.280;1
65.760;2
66.240;3
66.720;4
67.200;1
67.680;2
68.160;3
68.640;4
69.130;1
69.600;2
70.080;3
70.560;4
71.040;1
71.510;2
71.990;3
72.470;4
72.950;1
73.420;2
73.900;3
74.380;4
74.860;1
75.340;2
75.820;3
76.300;4
76.790;1
77.260;2
77.740;3
78.210;4
78.690;1
79.170;2
79.650;3
80.130;4
80.620;1
81.100;2
81.590;3
82.080;4
82.570;1
83.050;2
83.530;3
84.010;4
84.500;1
84.970;2
85.450;3
85.920;4
86.400;1
86.870;2
87.350;3
87.830;4
88.310;1
88.790;2
89.270;3
89.750;4
90.240;1
90.720;2
91.200;3
91.680;4
92.160;1
92.640;2
93.120;3
93.600;4
94.080;1
94.550;2
95.030;3
95.500;4
95.980;1
96.460;2
96.950;3
97.430;4
97.920;1
98.400;2
98.880;3
99.360;4
99.850;1
100.320;2
100.800;3
101.270;4
101.750;1
102.230;2
102.710;3
103.190;4
103.680;1
104.160;2
104.650;3
105.130;4
105.620;1
106.090;2
106.560;3
107.030;4
107.510;1
107.980;2
108.460;3
108.940;4
109.420;1
109.900;2
110.380;3
110.860;4
111.340;1
111.820;2
112.300;3
112.780;4
113.270;1
113.750;2
114.230;3
114.710;4
115.190;1
115.670;2
116.150;3
116.630;4
117.120;1
117.600;2
118.080;3
118.560;4
119.040;1
119.510;2
119.990;3
120.470;4
120.950;1
121.430;2
121.920;3
122.400;4
122.890;1
123.360;2
123.830;3
124.300;4
124.780;1
125.260;2
125.740;3
126.220;4
126.710;1
127.180;2
127.660;3
128.140;4
128.620;1
129.110;2
129.600;3
130.070;4
130.550;1
131.030;2
131.500;3
131.980;4
132.430;1
132.960;2
133.440;3
133.910;4
134.360;1
134.840;2
135.330;3
135.820;4
136.310;1
136.790;2
137.270;3
137.750;4
138.240;1
138.720;2
139.200;3
139.680;4
140.160;1
140.630;2
141.110;3
141.590;4
142.070;1
142.540;2
143.020;3
143.500;4
143.980;1
144.460;2
144.950;3
145.440;4
145.930;1
146.400;2
146.880;3
147.360;4
147.840;1
148.320;2
148.800;3
149.280;4
149.760;1
150.230;2
150.710;3
151.190;4
151.670;1
152.150;2
152.630;3
153.110;4
153.600;1
154.070;2
154.540;3
155.010;4
155.490;1
155.960;2
156.440;3
156.920;4
157.400;1
157.880;2
158.360;3
158.840;4
159.320;1
159.800;2
160.290;3
160.770;4
161.260;1
161.750;2
162.240;3
162.730;4
163.220;1
163.690;2
164.170;3
164.640;4
165.120;1
165.590;2
166.070;3
166.540;4
167.020;1
167.500;2
167.980;3
168.460;4
168.940;1
169.420;2
169.910;3
170.390;4
170.880;1
171.360;2
171.840;3
172.320;4
172.800;1
173.270;2
173.750;3
174.220;4
174.700;1
175.180;2
175.660;3
176.140;4
176.620;1
177.100;2
177.590;3
178.070;4
178.560;1
179.030;2
179.510;3
179.990;4
180.470;1
180.940;2
181.420;3
181.900;4
182.380;1
182.860;2
183.350;3
183.840;4
184.330;1
184.800;2
185.270;3
185.740;4
186.220;1
186.700;2
187.180;3
187.660;4
188.150;1
188.620;2
189.100;3
189.580;4
190.060;1
190.540;2
191.020;3
191.500;4
191.990;1
192.470;2
192.950;3
193.430;4
193.910;1
194.390;2
194.870;3
195.350;4
195.840;1
196.310;2
196.790;3
197.270;4
197.750;1
198.220;2
198.700;3
199.180;4
199.660;1
200.150;2
200.650;3
201.150;4
201.650;1
202.150;2
202.650;3
203.150;4
