t;beat
0.000;1
0.650;2
1.280;1
1.900;2
2.520;1
3.130;2
3.740;1
4.340;2
4.940;1
5.560;2
6.180;1
6.780;2
7.390;1
8.020;2
8.640;1
9.450;2
10.280;1
10.900;2
11.530;1
12.150;2
12.780;1
13.390;2
14.000;1
14.610;2
15.230;1
15.850;2
16.470;1
17.090;2
17.710;1
18.310;2
18.910;1
19.520;2
20.340;1
20.950;2
21.570;1
22.200;2
22.840;1
23.440;2
24.050;1
24.670;2
25.290;1
25.930;2
26.560;1
27.180;2
27.860;1
28.500;2
29.130;1
29.760;2
30.400;1
31.020;2
31.640;1
32.250;2
32.860;1
33.510;2
34.160;1
34.790;2
35.420;1
36.030;2
36.650;1
37.260;2
37.870;1
38.510;2
39.160;1
39.820;2
40.490;1
41.110;2
41.730;1
42.320;2
42.920;1
43.540;2
44.160;1
44.710;2
45.270;1
45.860;2
46.440;1
47.050;2
47.670;1
48.250;2
48.840;1
49.500;2
50.160;1
50.920;2
51.620;1
52.330;2
53.040;1
53.740;2
54.390;1
55.070;2
55.750;1
56.450;2
57.150;1
57.840;2
58.530;1
59.260;2
60.000;1
60.780;2
61.920;1
62.540;2
63.160;1
63.780;2
64.410;1
65.010;2
65.620;1
66.230;2
66.840;1
67.450;2
68.070;1
68.680;2
69.290;1
69.880;2
70.470;1
71.110;2
71.760;1
72.360;2
72.960;1
73.560;2
74.170;1
74.780;2
75.390;1
75.980;2
76.570;1
77.170;2
77.780;1
78.390;2
79.000;1
79.640;2
80.280;1
80.900;2
81.770;1
82.790;2
83.750;1
84.480;2
85.210;1
85.840;2
86.450;1
87.070;2
87.690;1
88.300;2
88.910;1
89.530;2
90.170;1
90.820;2
91.430;1
92.050;2
92.650;1
93.270;2
93.890;1
94.510;2
95.120;1
95.720;2
96.330;1
96.910;2
97.500;1
98.080;2
98.740;1
99.340;2
99.970;1
100.640;2
101.300;1
101.950;2
102.600;1
103.220;2
103.840;1
104.440;2
105.050;1
106.100;2
107.230;1
108.090;2
109.040;1
109.990;2
