t;beat
0.300;1
3.280;3
6.200;5
8.990;1
10.640;3
12.320;5
13.980;1
15.590;3
17.340;5
18.980;1
20.500;3
22.310;5
24.170;1
25.810;3
27.380;5
28.970;1
30.580;3
32.350;5
34.160;1
36.060;3
38.050;5
39.780;1
41.640;3
43.540;5
45.990;1
47.840;3
49.630;5
51.340;1
52.960;3
54.770;5
56.590;1
58.250;3
59.830;5
61.410;1
62.990;3
64.570;5
66.230;1
67.900;3
69.570;5
71.250;1
73.010;3
74.820;5
76.660;1
78.290;3
79.920;5
81.480;1
83.130;3
84.670;5
86.300;1
87.780;3
89.370;5
90.930;1
92.440;3
94.010;5
95.570;1
97.130;3
98.710;5
100.250;1
101.780;3
103.350;5
104.980;1
106.430;3
108.080;5
109.710;1
111.270;3
113.000;5
114.760;1
116.520;3
118.080;5
119.990;1
121.770;3
123.530;5
125.460;1
125.820;2
126.170;3
126.520;1
126.870;2
127.220;3
127.570;1
127.920;2
128.270;3
128.630;1
129.010;2
129.350;3
129.760;1
130.160;2
130.510;3
130.870;1
131.230;2
131.590;3
131.940;1
132.290;2
132.640;3
132.960;1
133.360;2
133.740;3
134.130;1
134.480;2
134.810;3
135.160;1
135.520;2
135.870;3
136.210;1
136.570;2
136.930;3
137.310;1
137.690;2
138.080;3
138.440;1
138.800;2
139.160;3
139.540;1
139.920;2
140.300;3
140.660;1
141.020;2
141.380;3
141.760;1
142.140;2
142.520;3
142.900;1
143.280;2
143.640;3
144.010;1
144.380;2
144.730;3
145.060;1
145.430;2
145.780;3
146.130;1
146.480;2
146.850;3
147.210;1
147.570;2
147.930;3
148.270;1
148.630;2
148.990;3
149.330;1
149.700;2
150.060;3
150.400;1
150.760;2
151.120;3
151.450;1
151.810;2
152.180;3
152.510;1
152.880;2
153.220;3
153.570;1
153.930;2
154.260;3
154.610;1
154.960;2
155.310;3
155.650;1
156.020;2
156.370;3
156.700;1
157.060;2
157.410;3
157.760;1
158.110;2
158.460;3
158.790;1
159.150;2
159.530;3
159.850;1
160.210;2
160.550;3
160.890;1
161.280;2
161.650;3
162.080;1
162.460;2
162.800;3
163.160;1
163.510;2
163.860;3
164.240;1
164.630;2
165.010;3
165.410;1
165.800;2
166.150;3
166.530;1
166.890;2
167.250;3
167.630;1
167.980;2
168.310;3
168.690;1
169.090;2
169.470;3
169.840;1
170.240;2
170.570;3
170.910;1
171.250;2
171.630;3
171.980;1
172.340;2
172.690;3
173.050;1
173.430;2
173.800;3
174.180;1
174.560;2
174.910;3
175.260;1
175.620;2
175.970;3
176.320;1
176.670;2
177.030;3
177.390;1
177.760;2
178.130;3
178.550;1
178.920;2
179.300;3
179.650;1
180.040;2
180.410;3
180.770;1
181.170;2
181.530;3
181.910;1
182.290;2
182.670;3
183.030;1
183.390;2
183.750;3
184.090;1
184.460;2
184.830;3
185.200;1
185.580;2
185.950;3
186.340;1
186.710;2
187.100;3
187.500;1
187.900;2
188.300;3
188.700;1
189.080;2
189.440;3
189.810;1
190.210;2
190.610;3
191.020;1
191.420;2
191.820;3
192.190;1
192.570;2
192.960;3
193.350;1
193.730;2
194.120;3
194.480;1
194.870;2
195.280;3
195.660;1
196.060;2
196.440;3
196.820;1
197.250;2
197.650;3
198.000;1
198.440;2
198.840;3
199.190;1
199.570;2
199.950;3
200.280;1
200.640;2
201.010;3
201.360;1
201.710;2
202.060;3
202.390;1
202.760;2
203.130;3
203.460;1
203.850;2
204.230;3
204.620;1
205.000;2
205.390;3
205.780;1
206.160;2
206.550;3
206.920;1
207.310;2
207.700;3
208.080;1
208.460;2
208.840;3
209.210;1
209.580;2
209.950;3
210.320;1
210.710;2
211.070;3
211.430;1
211.790;2
212.150;3
212.520;1
212.870;2
213.240;3
213.580;1
213.930;2
214.280;3
214.610;1
214.970;2
215.330;3
215.670;1
216.020;2
216.360;3
216.700;1
217.060;2
217.410;3
217.760;1
218.120;2
218.470;3
218.820;1
219.180;2
219.530;3
219.900;1
220.270;2
220.640;3
220.970;1
221.340;2
221.690;3
222.040;1
222.400;2
222.750;3
223.110;1
223.470;2
223.830;3
224.180;1
224.550;2
224.900;3
225.270;1
225.620;2
225.970;3
226.310;1
226.670;2
227.000;3
227.390;1
227.730;2
228.040;3
228.450;1
228.820;2
229.140;3
229.520;1
229.880;2
230.210;3
230.560;1
230.940;2
231.280;3
231.620;1
232.020;2
232.360;3
232.700;1
233.070;2
233.410;3
233.800;1
234.150;2
234.500;3
234.860;1
235.220;2
235.580;3
235.930;1
