0.080	1
0.830	2
1.580	3
2.330	4
3.080	1
3.830	2
4.580	3
5.330	4
6.080	1
6.830	2
7.580	3
8.330	4
9.080	1
9.830	2
10.580	3
11.330	4
12.080	1
12.830	2
13.580	3
14.330	4
15.080	1
15.830	2
16.580	3
17.330	4
18.080	1
18.830	2
19.580	3
20.330	4
21.080	1
21.830	2
22.580	3
23.330	4
24.080	1
24.830	2
25.580	3
26.330	4
27.080	1
27.830	2
28.580	3
29.330	4
30.080	1
30.830	2
31.580	3
32.330	4
33.080	1
33.830	2
34.580	3
35.330	4
36.080	1
36.830	2
37.580	3
38.330	4
39.080	1
39.830	2
40.580	3
41.330	4
42.080	1
42.830	2
43.580	3
44.330	4
45.080	1
45.830	2
46.580	3
47.330	4
48.080	1
48.830	2
49.580	3
50.330	4
51.080	1
51.830	2
52.580	3
53.330	4
54.080	1
54.830	2
55.580	3
56.330	4
57.080	1
57.830	2
58.580	3
59.330	4
60.080	1
60.830	2
61.580	3
62.330	4
63.080	1
63.830	2
64.580	3
65.330	4
66.080	1
66.830	2
67.580	3
68.330	4
69.080	1
69.830	2
70.580	3
71.330	4
72.080	1
72.830	2
73.580	3
74.330	4
75.080	1
75.830	2
76.580	3
77.330	4
78.080	1
78.830	2
79.580	3
80.330	4
81.080	1
81.830	2
82.580	3
83.330	4
84.080	1
84.830	2
85.580	3
86.330	4
87.080	1
87.830	2
88.580	3
89.330	4
90.080	1
90.830	2
91.580	3
92.330	4
93.080	1
93.830	2
94.580	3
95.330	4
96.080	1
96.830	2
97.580	3
98.330	4
99.080	1
99.830	2
100.580	3
101.330	4
102.080	1
102.830	2
103.580	3
104.330	4
105.080	1
105.830	2
106.580	3
107.330	4
108.080	1
108.830	2
109.580	3
110.330	4
111.080	1
111.830	2
112.580	3
113.330	4
114.080	1
114.830	2
115.580	3
116.330	4
117.080	1
117.830	2
118.580	3
119.330	4
120.080	1
120.830	2
121.580	3
122.330	4
123.080	1
123.830	2
124.580	3
125.330	4
126.080	1
126.830	2
127.580	3
128.330	4
129.080	1
129.830	2
130.580	3
131.330	4
132.080	1
132.830	2
133.580	3
134.330	4
135.080	1
135.830	2
136.580	3
137.330	4
138.080	1
138.830	2
139.580	3
140.330	4
141.080	1
141.830	2
142.580	3
143.330	4
144.080	1
144.830	2
145.580	3
146.330	4
147.080	1
147.830	2
148.580	3
149.330	4
150.080	1
150.830	2
151.580	3
152.330	4
153.080	1
153.830	2
154.580	3
155.330	4
156.080	1
156.830	2
157.580	3
158.330	4
159.080	1
159.830	2
160.580	3
161.330	4
162.080	1
162.830	2
163.580	3
164.330	4
165.080	1
165.830	2
166.580	3
167.330	4
168.080	1
168.830	2
169.580	3
170.330	4
171.080	1
171.830	2
172.580	3
173.330	4
174.080	1
174.830	2
175.580	3
176.330	4
177.080	1
177.830	2
178.580	3
179.330	4
180.080	1
180.830	2
181.580	3
182.330	4
183.080	1
183.830	2
184.580	3
185.330	4
186.080	1
186.830	2
187.580	3
188.330	4
189.080	1
189.830	2
190.580	3
191.330	4
192.080	1
192.830	2
193.580	3
194.330	4
195.080	1
195.830	2
196.580	3
197.330	4
198.080	1
198.830	2
199.580	3
200.330	4
201.080	1
201.830	2
202.580	3
203.330	4
204.080	1
204.830	2
205.580	3
206.330	4
207.080	1
207.830	2
208.580	3
209.330	4
210.080	1
210.830	2
211.580	3
212.330	4
213.080	1
213.830	2
214.580	3
215.330	4
216.080	1
216.830	2
217.580	3
218.330	4
219.080	1
219.830	2
220.580	3
221.330	4
222.080	1
222.830	2
223.580	3
224.330	4
225.080	1
225.830	2
226.580	3
227.330	4
228.080	1
228.830	2
229.580	3
230.330	4
231.080	1
231.830	2
232.580	3
233.330	4
234.080	1
234.830	2
235.580	3
236.330	4
237.080	1
237.830	2
238.580	3
239.330	4
240.080	1
240.830	2
241.580	3
242.330	4
243.080	1
243.830	2
244.580	3
245.330	4
246.080	1
246.830	2
247.580	3
248.330	4
249.080	1
249.830	2
250.580	3
251.330	4
252.080	1
252.830	2
253.580	3
