t;beat
0.020;1
0.670;2
1.320;3
1.970;4
2.630;1
3.280;2
3.930;3
4.580;4
5.240;1
5.890;2
6.540;3
7.190;4
7.850;1
8.500;2
9.150;3
9.800;4
10.460;1
11.100;2
11.760;3
12.410;4
13.060;1
13.710;2
14.370;3
15.020;4
15.670;1
16.320;2
16.980;3
17.630;4
18.280;1
18.930;2
19.590;3
20.230;4
20.890;1
21.540;2
22.200;3
22.840;4
23.500;1
24.140;2
24.800;3
25.450;4
26.100;1
26.750;2
27.410;3
28.060;4
28.710;1
29.360;2
30.020;3
30.670;4
31.330;1
31.970;2
32.630;3
33.280;4
33.940;1
34.580;2
35.240;3
35.890;4
36.540;1
37.190;2
37.850;3
38.490;4
39.150;1
39.800;2
40.450;3
41.110;4
41.760;1
42.410;2
43.060;3
43.710;4
44.370;1
45.010;2
45.670;3
46.320;4
46.970;1
47.620;2
48.270;3
48.930;4
49.580;1
50.230;2
50.890;3
51.540;4
52.190;1
52.840;2
53.500;3
54.150;4
54.800;1
55.450;2
56.100;3
56.750;4
57.410;1
58.060;2
58.710;3
59.360;4
60.010;1
60.660;2
61.320;3
61.970;4
62.630;1
63.270;2
63.930;3
64.580;4
65.240;1
65.890;2
66.540;3
67.190;4
67.840;1
68.490;2
69.150;3
69.800;4
70.450;1
71.100;2
71.750;3
72.410;4
73.060;1
73.710;2
74.360;3
75.020;4
75.670;1
76.320;2
76.970;3
77.620;4
78.280;1
78.930;2
79.580;3
80.230;4
80.880;1
81.530;2
82.180;3
82.840;4
83.500;1
84.140;2
84.790;3
85.450;4
86.110;1
86.750;2
87.410;3
88.050;4
88.710;1
89.360;2
90.010;3
90.670;4
91.320;1
91.970;2
92.620;3
93.270;4
93.930;1
94.580;2
95.230;3
95.890;4
96.540;1
97.180;2
97.840;3
98.490;4
99.140;1
99.790;2
100.450;3
101.100;4
101.750;1
102.400;2
103.050;3
103.710;4
104.360;1
105.010;2
105.660;3
106.320;4
106.970;1
107.620;2
108.270;3
108.920;4
109.580;1
110.230;2
110.880;3
111.530;4
112.190;1
112.840;2
113.490;3
114.140;4
114.790;1
115.440;2
116.100;3
116.750;4
117.400;1
118.050;2
118.700;3
119.360;4
120.010;1
120.660;2
121.310;3
121.970;4
122.630;1
123.270;2
123.930;3
124.580;4
125.230;1
125.880;2
126.530;3
127.190;4
127.840;1
128.490;2
129.140;3
129.790;4
130.450;1
131.100;2
131.750;3
132.400;4
133.060;1
133.700;2
134.360;3
135.010;4
135.670;1
136.310;2
136.970;3
137.620;4
138.270;1
138.920;2
139.580;3
140.220;4
140.880;1
141.530;2
142.190;3
142.840;4
143.500;1
144.140;2
144.800;3
145.440;4
146.100;1
146.750;2
147.410;3
148.050;4
148.710;1
149.360;2
150.010;3
150.660;4
151.320;1
151.960;2
152.620;3
153.270;4
153.930;1
154.580;2
155.220;3
155.880;4
156.530;1
157.180;2
157.830;3
158.490;4
159.140;1
159.790;2
160.440;3
161.090;4
161.750;1
162.400;2
163.060;3
163.710;4
164.360;1
165.010;2
165.660;3
166.320;4
166.970;1
167.620;2
168.270;3
168.920;4
169.580;1
170.230;2
170.880;3
171.530;4
172.180;1
172.830;2
173.490;3
174.140;4
174.800;1
175.440;2
176.100;3
176.750;4
177.400;1
178.050;2
178.710;3
179.360;4
180.010;1
180.660;2
181.310;3
181.960;4
182.620;1
183.270;2
183.920;3
184.570;4
185.230;1
185.880;2
186.530;3
187.180;4
187.840;1
188.480;2
189.140;3
189.790;4
190.440;1
191.090;2
191.750;3
192.400;4
193.050;1
193.700;2
194.350;3
195.010;4
195.670;1
196.310;2
196.960;3
197.620;4
198.280;1
198.920;2
199.570;3
200.220;4
200.880;1
201.530;2
202.180;3
202.830;4
203.490;1
204.140;2
204.790;3
205.440;4
206.100;1
206.740;2
207.400;3
208.050;4
208.710;1
209.350;2
210.010;3
210.660;4
211.310;1
211.960;2
212.610;3
213.270;4
213.920;1
214.570;2
215.220;3
215.880;4
216.530;1
217.180;2
217.830;3
218.480;4
219.130;1
219.790;2
220.440;3
221.090;4
221.750;1
222.390;2
223.050;3
223.700;4
224.360;1
225.010;2
225.660;3
226.310;4
226.960;1
227.610;2
228.270;3
228.920;4
229.570;1
230.220;2
230.870;3
231.530;4
232.180;1
232.830;2
233.480;3
234.140;4
234.790;1
235.440;2
236.090;3
236.740;4
237.400;1
238.050;2
238.700;3
239.350;4
240.010;1
240.660;2
241.310;3
241.960;4
242.620;1
243.260;2
243.910;3
244.570;4
245.230;1
245.880;2
246.530;3
247.180;4
247.830;1
248.480;2
249.140;3
249.790;4
250.440;1
251.090;2
251.740;3
252.400;4
253.050;1
253.700;2
254.350;3
255.010;4
255.660;1
256.310;2
256.960;3
257.610;4
258.270;1
258.920;2
259.570;3
260.220;4
260.870;1
261.520;2
262.180;3
262.830;4
263.480;1
264.130;2
264.790;3
265.440;4
266.090;1
266.740;2
267.400;3
268.050;4
268.710;1
269.350;2
270.010;3
270.660;4
271.310;1
271.960;2
272.620;3
273.260;4
273.920;1
274.570;2
275.220;3
275.870;4
276.530;1
277.180;2
277.830;3
278.480;4
279.140;1
279.790;2
280.440;3
281.090;4
281.750;1
282.390;2
283.050;3
283.700;4
284.350;1
285.000;2
285.660;3
286.310;4
286.960;1
287.610;2
288.270;3
