t;beat
0.000;1
0.610;2
1.210;3
1.810;4
2.410;1
3.010;2
3.610;3
4.210;4
4.810;1
5.410;2
6.010;3
6.610;4
7.210;1
7.810;2
8.410;3
9.010;4
9.610;1
10.210;2
10.810;3
11.410;4
12.010;1
12.610;2
13.210;3
13.810;4
14.410;1
15.010;2
15.610;3
16.210;4
16.810;1
17.410;2
18.010;3
18.610;4
19.210;1
19.810;2
20.410;3
21.010;4
21.610;1
22.210;2
22.810;3
23.410;4
24.010;1
24.610;2
25.210;3
25.810;4
26.410;1
27.010;2
27.610;3
28.220;1
28.700;2
29.180;3
29.660;4
30.140;1
30.620;2
31.100;3
31.580;4
32.060;1
32.540;2
33.020;3
33.500;4
33.980;1
34.460;2
34.940;3
35.420;4
35.900;1
36.380;2
36.860;3
37.340;4
37.820;1
38.300;2
38.780;3
39.260;4
39.740;1
40.220;2
40.700;3
41.180;4
41.660;1
42.140;2
42.620;3
43.100;4
43.580;1
44.060;2
44.540;3
45.020;4
45.500;1
45.980;2
46.460;3
46.940;4
47.420;1
47.900;2
48.380;3
48.860;4
49.340;1
49.820;2
50.300;3
50.780;4
51.260;1
51.740;2
52.220;3
52.700;4
53.180;1
53.660;2
54.140;3
54.620;4
55.100;1
55.580;2
56.060;3
56.540;4
57.020;1
57.500;2
57.980;3
58.460;4
58.940;1
59.420;2
59.900;3
60.380;4
60.860;1
61.340;2
61.820;3
62.300;4
62.780;1
63.260;2
63.740;3
64.220;4
64.700;1
65.180;2
65.660;3
66.140;4
66.620;1
67.100;2
67.580;3
68.060;4
68.540;1
69.020;2
69.500;3
69.980;4
70.460;1
70.940;2
71.420;3
71.900;4
72.380;1
72.860;2
73.340;3
73.820;4
74.300;1
74.780;2
75.260;3
75.740;4
76.220;1
76.700;2
77.180;3
77.660;4
78.140;1
78.620;2
79.100;3
79.580;4
80.060;1
80.540;2
81.020;3
81.500;4
81.980;1
82.460;2
82.930;3
83.410;4
83.890;1
84.370;2
84.850;3
85.330;4
85.810;1
86.290;2
86.770;3
87.250;4
87.730;1
88.210;2
88.690;3
89.170;4
89.650;1
90.130;2
90.610;3
91.090;4
91.570;1
92.050;2
92.530;3
93.010;4
93.490;1
93.970;2
94.450;3
94.930;4
95.410;1
95.880;2
96.360;3
96.830;4
97.300;1
97.770;2
98.240;3
98.720;4
99.200;1
99.680;2
100.160;3
100.630;4
101.110;1
101.590;2
102.070;3
102.540;4
103.020;1
103.500;2
103.980;3
