t;beat
0.130;1
0.460;2
0.780;3
1.110;4
1.430;1
1.760;2
2.090;3
2.410;4
2.740;1
3.060;2
3.390;3
3.710;4
4.040;1
4.370;2
4.690;3
5.020;4
5.340;1
5.670;2
6.000;3
6.320;4
6.650;1
6.970;2
7.300;3
7.630;4
7.950;1
8.280;2
8.600;3
8.930;4
9.260;1
9.580;2
9.910;3
10.230;4
10.560;1
10.880;2
11.210;3
11.540;1
11.860;2
12.190;3
12.510;1
12.840;2
13.170;3
13.490;1
13.820;2
14.140;3
14.470;4
14.800;1
15.120;2
15.450;3
15.770;4
16.100;1
16.430;2
16.750;3
17.080;4
17.400;1
17.730;2
18.050;3
18.380;4
18.710;1
19.030;2
19.360;3
19.680;4
20.010;1
20.340;2
20.660;3
20.990;4
21.310;1
21.640;2
21.970;3
22.290;4
22.620;1
22.940;2
23.270;3
23.600;4
23.920;1
24.250;2
24.570;3
24.900;4
25.220;1
25.550;2
25.880;3
26.200;4
26.530;1
26.850;2
27.180;3
27.510;4
27.830;1
28.160;2
28.480;3
28.810;4
29.140;1
29.460;2
29.790;3
30.110;4
30.440;1
30.770;2
31.090;3
31.420;4
31.740;1
32.070;2
32.390;3
32.720;4
33.050;1
33.370;2
33.700;3
34.020;4
34.350;1
34.680;2
35.000;3
35.330;4
35.650;1
35.980;2
36.310;3
36.630;4
36.960;1
37.280;2
37.610;3
37.940;4
38.260;1
38.590;2
38.910;3
39.240;4
39.560;1
39.890;2
40.220;3
40.540;4
40.870;1
41.190;2
41.520;3
41.850;4
42.170;1
42.500;2
42.820;3
43.150;4
43.480;1
43.800;2
44.130;3
44.450;4
44.780;1
45.100;2
45.430;3
45.760;4
46.080;1
46.410;2
46.730;3
47.060;4
47.390;1
47.710;2
48.040;3
48.360;4
48.690;1
49.020;2
49.340;3
49.670;4
49.990;1
50.320;2
50.650;3
50.970;4
51.300;1
51.620;2
51.950;3
52.270;4
52.600;1
52.930;2
53.250;3
53.580;4
53.910;1
54.230;2
54.560;3
54.880;4
55.210;1
55.530;2
55.860;3
56.190;4
56.510;1
56.840;2
57.160;3
57.490;4
57.820;1
58.140;2
58.470;3
58.790;4
59.120;1
59.440;2
59.770;3
60.100;4
60.420;1
60.750;2
61.080;3
61.400;4
61.730;1
62.050;2
62.380;3
62.700;4
63.030;1
63.360;2
63.680;3
64.010;4
64.340;1
64.660;2
64.990;3
65.310;4
65.640;1
65.960;2
66.290;3
66.610;4
66.940;1
67.270;2
67.590;3
67.920;4
68.250;1
68.570;2
68.900;3
69.220;4
69.550;1
69.870;2
70.200;3
70.530;4
70.850;1
71.180;2
71.510;3
71.830;4
72.160;1
72.480;2
72.810;3
73.130;4
73.460;1
73.780;2
74.110;3
74.440;4
74.760;1
75.090;2
75.410;3
75.740;4
76.070;1
76.390;2
76.720;3
77.040;4
77.370;1
77.700;2
78.020;3
78.350;4
78.670;1
79.000;2
79.330;3
79.650;4
79.980;1
80.300;2
80.630;3
80.950;4
81.280;1
81.610;2
81.930;3
82.260;4
82.580;1
82.910;2
83.240;3
83.560;4
83.890;1
84.210;2
84.540;3
84.870;4
85.190;1
85.520;2
85.840;3
86.170;4
86.500;1
86.820;2
87.150;3
87.470;4
87.800;1
88.120;2
88.450;3
88.780;4
89.100;1
89.430;2
89.750;3
90.080;4
90.410;1
90.730;2
91.060;3
91.380;4
91.710;1
92.040;2
92.360;3
92.690;4
93.010;1
93.340;2
93.670;3
93.990;4
94.320;1
94.640;2
94.970;3
95.290;4
95.620;1
95.950;2
96.270;3
96.600;4
96.920;1
97.250;2
97.580;3
97.900;4
98.230;1
98.550;2
98.880;3
99.210;4
99.530;1
99.860;2
100.180;3
100.510;4
100.840;1
101.160;2
101.490;3
101.810;4
102.140;1
102.460;2
102.790;3
103.120;4
103.440;1
103.770;2
104.090;3
104.420;4
104.750;1
105.070;2
105.400;3
105.720;4
106.050;1
106.380;2
106.700;3
107.030;4
107.350;1
107.680;2
108.010;3
108.330;4
108.660;1
108.980;2
109.310;3
109.630;4
109.960;1
110.290;2
110.610;3
110.940;4
111.260;1
111.590;2
111.920;3
112.240;4
112.570;1
112.890;2
113.220;3
113.550;4
113.870;1
114.200;2
114.520;3
114.850;4
115.180;1
115.500;2
115.830;3
116.150;4
116.480;1
116.800;2
117.130;3
117.460;4
117.780;1
118.110;2
118.430;3
118.760;4
119.090;1
119.410;2
119.740;3
120.060;4
120.390;1
120.720;2
121.040;3
121.370;4
121.690;1
122.020;2
122.340;3
122.670;4
123.000;1
123.320;2
123.650;3
123.970;4
124.300;1
124.630;2
124.950;3
125.280;4
125.610;1
125.930;2
126.260;3
126.580;4
126.910;1
127.230;2
127.560;3
127.890;4
128.210;1
128.540;2
128.860;3
129.190;4
129.510;1
129.840;2
130.170;3
130.490;4
130.820;1
131.140;2
131.470;3
131.800;4
132.120;1
132.450;2
132.770;3
133.100;4
133.430;1
133.750;2
134.080;3
134.400;4
134.730;1
135.060;2
135.380;3
135.710;4
136.030;1
136.360;2
136.690;3
137.010;4
137.340;1
137.660;2
137.990;3
138.310;4
138.640;1
138.970;2
139.290;3
139.620;4
139.940;1
140.270;2
140.600;3
140.920;1
141.250;2
141.570;3
141.900;4
142.230;1
142.550;2
142.880;3
143.200;4
143.530;1
143.860;2
144.180;3
144.510;4
144.830;1
145.160;2
145.480;3
145.810;4
146.140;1
146.460;2
146.790;3
147.110;4
147.440;1
147.770;2
148.090;3
148.420;4
148.740;1
149.070;2
149.400;3
149.720;4
150.050;1
150.370;2
150.700;3
151.020;4
151.350;1
151.680;2
152.000;3
152.330;4
152.650;1
152.980;2
153.310;3
153.630;4
153.960;1
154.280;2
154.610;3
154.940;4
155.260;1
155.590;2
155.910;3
156.240;4
156.570;1
156.890;2
157.220;3
157.540;4
157.870;1
158.190;2
158.520;3
158.850;4
159.170;1
159.500;2
159.820;3
160.150;4
160.480;1
160.800;2
161.130;3
161.450;4
161.780;1
162.110;2
162.430;3
162.760;4
163.080;1
163.410;2
163.740;3
164.060;4
164.390;1
164.710;2
165.040;3
165.360;4
165.690;1
166.020;2
166.340;3
166.670;4
166.990;1
167.320;2
167.650;3
167.970;4
168.300;1
168.620;2
168.950;3
169.280;4
169.600;1
169.930;2
170.250;3
170.580;4
170.910;1
171.230;2
171.560;3
171.880;4
172.210;1
172.530;2
172.860;3
173.190;4
173.510;1
173.840;2
174.160;3
174.490;4
174.820;1
175.140;2
175.470;3
175.790;4
176.120;1
176.450;2
176.770;3
177.100;4
177.430;1
177.750;2
178.080;3
178.400;4
178.730;1
179.050;2
179.380;3
179.700;4
180.030;1
180.360;2
180.680;3
181.010;4
181.330;1
181.660;2
181.990;3
182.310;4
182.640;1
182.960;2
183.290;3
183.620;4
183.940;1
184.270;2
184.590;3
184.920;4
185.250;1
185.570;2
185.900;3
186.220;4
186.550;1
186.870;2
187.200;3
187.530;4
187.850;1
188.180;2
188.500;3
188.830;4
189.160;1
189.480;2
189.810;3
190.130;4
190.460;1
190.790;2
191.110;3
191.440;4
191.760;1
192.090;2
192.420;3
192.740;4
193.070;1
193.390;2
193.720;3
194.040;4
194.370;1
194.700;2
195.020;3
195.350;4
195.680;1
196.000;2
196.330;3
196.650;4
196.980;1
197.300;2
197.630;3
197.960;4
198.280;1
198.610;2
198.930;3
199.260;4
199.590;1
199.910;2
200.240;3
200.560;4
200.890;1
201.210;2
201.540;3
201.870;4
202.190;1
202.520;2
202.840;3
203.170;4
203.500;1
203.820;2
204.150;3
204.470;4
204.800;1
205.130;2
205.450;3
205.780;4
206.110;1
206.430;2
206.760;3
207.080;4
207.410;1
207.730;2
208.060;3
208.390;4
208.710;1
209.040;2
209.360;3
209.690;4
210.010;1
210.340;2
210.670;3
210.990;4
211.320;1
211.640;2
211.970;3
212.300;4
212.620;1
212.950;2
213.270;3
213.600;4
213.930;1
214.250;2
214.580;3
214.900;4
215.230;1
215.550;2
215.880;3
216.210;4
216.530;1
216.860;2
217.180;3
217.510;4
217.840;1
218.160;2
218.490;3
218.810;4
219.140;1
219.470;2
219.790;3
220.120;4
220.440;1
220.770;2
221.090;3
221.420;4
221.750;1
222.070;2
222.400;3
222.720;4
223.050;1
223.380;2
223.700;3
224.030;4
224.350;1
224.680;2
225.010;3
225.330;4
225.660;1
225.980;2
226.310;3
226.640;4
226.960;1
227.290;2
227.610;3
227.940;4
228.260;1
228.590;2
228.920;3
229.240;4
229.570;1
229.890;2
230.220;3
230.550;1
230.870;2
231.200;3
231.520;1
231.850;2
232.180;3
232.500;1
232.830;2
233.150;3
233.480;1
233.810;2
234.130;3
234.460;4
234.780;1
235.110;2
